type,service,n_boxes,mass,volume,energy_kWh,time_s
B,S007,2,20.0,0.062,1.656283494582559,1576.1902081524602
B,S008,3,25.0,0.067,2.986013277988837,1965.888618492203
B,S008,2,20.0,0.062,2.7734578535037,1905.888618492203
B,S009,3,25.0,0.067,2.1024528395672246,1560.7787366148573
B,S010,3,25.0,0.067,1.8210449428989826,1554.5713591276817
B,S011,3,25.0,0.067,1.077171254529726,1189.630285736439
B,S012,3,25.0,0.067,2.7552342804549035,1923.80003809751
B,S013,3,25.0,0.067,1.824566933772147,1510.4000484846588
B,S014,3,25.0,0.067,2.137304308171069,1868.5974513534843
B,S015,3,25.0,0.067,2.3109026130195294,1829.5729924903098
C,S001,7,76.0,0.20600000000000002,2.92626894731049,1561.4261775174655
C,S001,8,78.0,0.18800000000000003,3.0046938846697038,1627.4261775174655
C,S002,5,39.0,0.13,5.187321479975067,2045.0067572452497
C,S002,3,42.0,0.081,5.2652923341909155,1913.00675724525
C,S003,5,39.0,0.13,5.207715133255133,2369.8095208576483
C,S003,3,42.0,0.081,5.28677830626896,2237.8095208576483
C,S004,6,59.0,0.15600000000000003,6.1769107423796425,2305.184064967841
C,S005,6,59.0,0.15600000000000003,4.2387743677705485,1880.044640635813
C,S006,6,59.0,0.15600000000000003,2.5939758810401803,1560.8632994307266
C,S007,5,45.0,0.129,3.4104434057083766,1907.4812665020695
C,S008,5,45.0,0.129,5.857489201651335,2203.7583959173335
C,S009,3,25.0,0.067,3.780655381020191,1646.9050407326959
C,S010,3,25.0,0.067,3.226071420167962,1667.9002043425255
C,S011,3,25.0,0.067,1.9058790476563696,1279.450870860137
C,S012,3,25.0,0.067,4.927151570527744,2041.650369721859
C,S013,3,25.0,0.067,3.2487935027871178,1611.560656394815
C,S014,3,25.0,0.067,3.7331475239145524,2034.1299139185885
C,S015,3,25.0,0.067,4.08161388049806,1967.8060776140078
