gap_id,candidate_id,first_covered_sample,last_covered_sample,covered_samples,total_required_samples,coverage_ratio,full_cover,covered_sample_ranges,min_access_margin_db,relay_g01_margin_db,lon,lat,agl_height
G003547,RP006110,0,79,80,80,1.0,1,0-79,0.3243623887280762,1.008785839510736,109.26680555555555,23.04625,20.0
G003548,RP006110,0,79,80,80,1.0,1,0-79,0.3243623887280762,1.008785839510736,109.26680555555555,23.04625,20.0
G003549,RP006110,0,79,80,80,1.0,1,0-79,0.3243623887280762,1.008785839510736,109.26680555555555,23.04625,20.0
G003550,RP006110,0,79,80,80,1.0,1,0-79,0.3243623887280762,1.008785839510736,109.26680555555555,23.04625,20.0
G003551,RP006110,0,79,80,80,1.0,1,0-79,0.3243623887280762,1.008785839510736,109.26680555555555,23.04625,20.0
G003480,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003481,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003489,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003505,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003506,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003507,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003508,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003509,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003516,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003517,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003518,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003525,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003526,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
G003534,RP006112,0,79,80,80,1.0,1,0-79,0.40131799563445725,0.8919131962929043,109.26791666666666,23.04625,20.0
