pattern_id,class_id,count,delivery_offset_s
P000168,C002,1,879.3587719896758
P000168,C008,1,1501.5976090067682
P000169,C002,1,1880.4109774198039
P000169,C008,1,1255.8054737360449
P000170,C002,1,879.3587719896758
P000170,C007,1,1501.5976090067682
P000171,C002,1,1880.4109774198039
P000171,C007,1,1255.8054737360449
P000172,C002,1,909.3587719896758
P000172,C007,1,1561.5976090067682
P000172,C011,1,1561.5976090067682
P000173,C002,1,1940.4109774198039
P000173,C007,1,1315.8054737360449
P000173,C011,1,1315.8054737360449
P000174,C002,1,909.3587719896758
P000174,C007,1,1561.5976090067682
P000174,C010,1,1561.5976090067682
P000175,C002,1,1940.4109774198039
P000175,C007,1,1315.8054737360449
P000175,C010,1,1315.8054737360449
P000176,C002,1,909.3587719896758
P000176,C007,1,1561.5976090067682
P000176,C009,1,1561.5976090067682
P000177,C002,1,1940.4109774198039
P000177,C007,1,1315.8054737360449
P000177,C009,1,1315.8054737360449
P000178,C002,1,909.3587719896758
P000178,C007,1,1561.5976090067682
P000178,C008,1,1561.5976090067682
P000179,C002,1,1940.4109774198039
P000179,C007,1,1315.8054737360449
P000179,C008,1,1315.8054737360449
P000180,C002,1,939.3587719896758
P000180,C006,1,939.3587719896758
P000180,C007,1,1561.5976090067682
P000181,C002,1,1940.4109774198039
P000181,C006,1,1940.4109774198039
P000181,C007,1,1285.8054737360449
P000182,C002,1,939.3587719896758
P000182,C005,1,939.3587719896758
P000182,C007,1,1561.5976090067682
P000183,C002,1,1940.4109774198039
P000183,C005,1,1940.4109774198039
P000183,C007,1,1285.8054737360449
P000184,C002,1,939.3587719896758
P000184,C004,1,939.3587719896758
P000184,C007,1,1561.5976090067682
P000185,C002,1,1940.4109774198039
P000185,C004,1,1940.4109774198039
P000185,C007,1,1285.8054737360449
P000186,C002,1,939.3587719896758
P000186,C003,1,939.3587719896758
P000186,C007,1,1561.5976090067682
P000187,C002,1,1940.4109774198039
P000187,C003,1,1940.4109774198039
P000187,C007,1,1285.8054737360449
P000188,C001,1,879.3587719896758
P000188,C011,1,1501.5976090067682
P000189,C001,1,1880.4109774198039
P000189,C011,1,1255.8054737360449
P000190,C001,1,879.3587719896758
P000190,C010,1,1501.5976090067682
P000191,C001,1,1880.4109774198039
P000191,C010,1,1255.8054737360449
P000192,C001,1,879.3587719896758
P000192,C009,1,1501.5976090067682
P000193,C001,1,1880.4109774198039
P000193,C009,1,1255.8054737360449
P000194,C001,1,879.3587719896758
P000194,C008,1,1501.5976090067682
P000195,C001,1,1880.4109774198039
P000195,C008,1,1255.8054737360449
