from,to,distance_old,h_max_old,cruise_height_old,climb_height_old,descent_height_old,distance_new,h_max_new,cruise_height_new,climb_height_new,descent_height_new,delta_h_max,delta_cruise_height
O01,S011,2817.14783394126,205.3607177734375,255.3607177734375,127.6607177734375,43.26071777343751,2817.14783394126,245.36175537109372,295.3617553710937,167.66175537109376,83.26175537109376,40.00103759765622,40.00103759765619
O01,S012,7398.43934212781,327.6239624023437,377.62396240234375,249.92396240234376,97.82396240234374,7398.43934212781,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,35.67703247070318,35.677032470703125
O01,S013,4848.700302599784,321.70806884765625,371.70806884765625,244.00806884765623,20.00806884765626,4848.700302599784,349.18182373046875,399.1818237304688,271.4818237304688,47.48182373046876,27.4737548828125,27.473754882812557
O01,S014,5410.909620502695,320.9825134277344,370.9825134277344,243.2825134277344,19.98251342773437,5410.909620502695,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,220.96487426757812,220.96487426757812
O01,S015,6019.105634595292,466.4627990722656,516.4627990722656,388.7627990722656,41.962799072265625,6019.105634595292,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109376,55.336456298828125,55.336456298828125
S001,O01,3063.407094930797,196.75572204589844,246.75572204589844,62.75572204589844,119.05572204589843,3063.407094930797,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,26.300888061523438,26.300888061523438
S001,S002,4375.111429947296,234.326171875,284.326171875,100.326171875,64.826171875,4375.111429947296,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688,24.918670654296875,24.918670654296875
S001,S003,7646.659009326058,308.5106811523437,358.5106811523437,174.51068115234375,20.01068115234375,7646.659009326058,505.94439697265625,555.9443969726562,371.94439697265625,217.44439697265625,197.43371582031256,197.43371582031256
S001,S004,4947.397665203851,207.44631958007807,257.4463195800781,73.44631958007812,29.146319580078117,4947.397665203851,358.7777404785156,408.7777404785156,224.7777404785156,180.4777404785156,151.33142089843756,151.3314208984375
S001,S005,2935.3982704178266,233.321533203125,283.321533203125,99.321533203125,88.321533203125,2935.3982704178266,266.13800048828125,316.13800048828125,132.13800048828125,121.13800048828124,32.81646728515625,32.81646728515625
S001,S006,5296.389689052462,275.1272277832031,325.1272277832031,141.12722778320312,10.327227783203114,5296.389689052462,343.9356384277344,393.9356384277344,209.9356384277344,79.13563842773436,68.80841064453125,68.80841064453125
S001,S007,5179.657800128225,314.2220458984375,364.2220458984375,180.2220458984375,15.7220458984375,5179.657800128225,389.1753540039063,439.1753540039063,255.17535400390625,90.67535400390624,74.9533081054688,74.9533081054688
S001,S008,5983.170216573233,356.33746337890625,406.3374633789063,222.33746337890625,135.43746337890627,5983.170216573233,316.78717041015625,366.78717041015625,182.78717041015625,95.88717041015629,-39.55029296875,-39.55029296875006
S001,S009,2659.297911633031,217.6104736328125,267.6104736328125,83.6104736328125,37.6104736328125,2659.297911633031,243.2289123535156,293.2289123535156,109.22891235351562,63.228912353515625,25.618438720703097,25.618438720703125
S001,S010,3707.6479701128087,343.6112060546875,393.6112060546875,209.6112060546875,42.01120605468748,3707.6479701128087,381.0796813964844,431.0796813964844,247.0796813964844,79.47968139648435,37.468475341796875,37.468475341796875
S001,S011,2350.3360860171365,178.04286193847656,228.04286193847656,44.04286193847656,15.942861938476568,2350.3360860171365,226.38790893554688,276.3879089355469,92.38790893554688,64.28790893554688,48.34504699707031,48.34504699707031
S001,S012,4696.513291627057,253.3150787353516,303.3150787353516,119.31507873535156,23.51507873535155,4696.513291627057,385.599609375,435.599609375,251.599609375,155.799609375,132.2845306396484,132.28453063964838
S001,S013,2894.2496690637063,321.70806884765625,371.70806884765625,187.70806884765625,20.00806884765626,2894.2496690637063,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886,6.652740478515625,6.652740478515625
S001,S014,5198.596162989784,405.0832214355469,455.0832214355469,271.0832214355469,104.08322143554688,5198.596162989784,550.0504150390625,600.0504150390625,416.0504150390625,249.0504150390625,144.96719360351562,144.96719360351562
S001,S015,5494.311766798541,436.229248046875,486.229248046875,302.229248046875,11.729248046875,5494.311766798541,547.315185546875,597.315185546875,413.315185546875,122.815185546875,111.0859375,111.0859375
S002,O01,7435.2682483091,355.8477783203125,405.8477783203125,186.3477783203125,278.1477783203125,7435.2682483091,258.9542541503906,308.9542541503906,89.45425415039062,181.25425415039064,-96.89352416992188,-96.89352416992188
S002,S001,4375.111429947296,266.29071044921875,316.29071044921875,96.79071044921876,132.29071044921875,4375.111429947296,259.2448425292969,309.2448425292969,89.74484252929688,125.24484252929688,-7.045867919921875,-7.045867919921875
