candidate_id,lon,lat,ground_height,agl_height,absolute_height,relay_g01_available,relay_g01_margin_db,relay_g01_margin_lower_bound
R000106,109.22458333333333,23.134027777777778,492.3620910644531,280.0,772.3620910644531,1,3.032105565611616,0
R000107,109.22458333333333,23.134027777777778,492.3620910644531,300.0,792.3620910644531,1,3.031541938702645,0
R000108,109.22569444444444,23.134027777777778,539.7973022460938,140.0,679.7973022460938,1,3.0374362242580304,0
R000109,109.22569444444444,23.134027777777778,539.7973022460938,160.0,699.7973022460938,1,3.0369542059284527,0
R000110,109.22569444444444,23.134027777777778,539.7973022460938,180.0,719.7973022460938,1,3.036454460626487,0
R000111,109.22569444444444,23.134027777777778,539.7973022460938,200.0,739.7973022460938,1,3.035936994477254,0
R000112,109.22569444444444,23.134027777777778,539.7973022460938,220.0,759.7973022460938,1,3.0354018138213092,0
R000113,109.22569444444444,23.134027777777778,539.7973022460938,240.0,779.7973022460938,1,3.0348489252144475,0
R000114,109.22569444444444,23.134027777777778,539.7973022460938,260.0,799.7973022460938,1,3.034278335427345,0
R000115,109.22569444444444,23.134027777777778,539.7973022460938,280.0,819.7973022460938,1,3.0336900514454044,0
R000116,109.22569444444444,23.134027777777778,539.7973022460938,300.0,839.7973022460938,1,3.033084080468342,0
R000117,109.22680555555556,23.134027777777778,538.4546508789062,280.0,818.4546508789062,1,3.036107852344884,0
R000118,109.22680555555556,23.134027777777778,538.4546508789062,300.0,838.4546508789062,1,3.035502737325885,0
R000119,109.22791666666667,23.134027777777778,563.8577270507812,260.0,823.8577270507812,1,3.0377505534848694,0
R000120,109.22791666666667,23.134027777777778,563.8577270507812,280.0,843.8577270507812,1,3.0371404053443314,0
R000121,109.22791666666667,23.134027777777778,563.8577270507812,300.0,863.8577270507812,1,3.0365125622095803,0
R000122,109.23680555555556,23.134027777777778,659.6437377929688,300.0,959.6437377929688,1,3.0270279771437174,0
R000123,109.23791666666666,23.134027777777778,713.7576904296875,240.0,953.7576904296875,1,3.0238829395320153,0
R000124,109.23791666666666,23.134027777777778,713.7576904296875,260.0,973.7576904296875,1,3.0231596040410125,0
R000125,109.23791666666666,23.134027777777778,713.7576904296875,280.0,993.7576904296875,1,3.0224186659107346,0
R000126,109.23791666666666,23.134027777777778,713.7576904296875,300.0,1013.7576904296875,1,3.0216601341698492,0
R000127,109.23902777777778,23.134027777777778,773.787109375,180.0,953.787109375,1,3.0199560417730424,0
R000128,109.23902777777778,23.134027777777778,773.787109375,200.0,973.787109375,1,3.019233333922614,0
R000129,109.23902777777778,23.134027777777778,773.787109375,220.0,993.787109375,1,3.01849303923683,0
R000130,109.23902777777778,23.134027777777778,773.787109375,240.0,1013.787109375,1,3.0177351667284142,0
R000131,109.23902777777778,23.134027777777778,773.787109375,260.0,1033.787109375,1,3.0169597256203247,0
R000132,109.23902777777778,23.134027777777778,773.787109375,280.0,1053.787109375,1,3.016166725345471,0
R000133,109.23902777777778,23.134027777777778,773.787109375,300.0,1073.787109375,1,3.0153561755463016,0
R000134,109.2401388888889,23.134027777777778,828.0776977539062,60.0,888.0776977539062,1,3.0177103350165027,0
R000135,109.2401388888889,23.134027777777778,828.0776977539062,80.0,908.0776977539062,1,3.0170461569524463,0
R000136,109.2401388888889,23.134027777777778,828.0776977539062,100.0,928.0776977539062,1,3.0163643820433634,0
R000137,109.2401388888889,23.134027777777778,828.0776977539062,120.0,948.0776977539062,1,3.0156650185913634,0
R000138,109.2401388888889,23.134027777777778,828.0776977539062,140.0,968.0776977539062,1,3.0149480751096007,0
R000139,109.2401388888889,23.134027777777778,828.0776977539062,160.0,988.0776977539062,1,3.0142135603218776,0
R000140,109.2401388888889,23.134027777777778,828.0776977539062,180.0,1008.0776977539062,1,3.0134614831623594,0
R000141,109.2401388888889,23.134027777777778,828.0776977539062,200.0,1028.0776977539062,1,3.01269185277512,0
R000142,109.2401388888889,23.134027777777778,828.0776977539062,220.0,1048.0776977539062,1,3.011904678513872,0
R000143,109.2401388888889,23.134027777777778,828.0776977539062,240.0,1068.0776977539062,1,3.0110999699415117,0
R000144,109.2401388888889,23.134027777777778,828.0776977539062,260.0,1088.0776977539062,1,3.0102777368298064,0
R000145,109.2401388888889,23.134027777777778,828.0776977539062,280.0,1108.0776977539062,1,3.0094379891589256,0
R000146,109.2401388888889,23.134027777777778,828.0776977539062,300.0,1128.0776977539062,1,3.0085807371170574,0
R000147,109.24125,23.134027777777778,859.5205078125,40.0,899.5205078125,1,3.0122701260120692,0
R000148,109.24125,23.134027777777778,859.5205078125,60.0,919.5205078125,1,3.0115966644945473,0
R000149,109.24125,23.134027777777778,859.5205078125,80.0,939.5205078125,1,3.010905631222286,0
R000150,109.24125,23.134027777777778,859.5205078125,100.0,959.5205078125,1,3.0101970345986047,0
R000151,109.24125,23.134027777777778,859.5205078125,120.0,979.5205078125,1,3.009470883237171,0
R000152,109.24125,23.134027777777778,859.5205078125,140.0,999.5205078125,1,3.0087271859616465,0
R000153,109.24125,23.134027777777778,859.5205078125,160.0,1019.5205078125,1,3.007965951805332,0
R000154,109.24125,23.134027777777778,859.5205078125,180.0,1039.5205078125,1,3.0071871900107965,0
R000155,109.24125,23.134027777777778,859.5205078125,200.0,1059.5205078125,1,3.006390910029481,0
R000156,109.24125,23.134027777777778,859.5205078125,220.0,1079.5205078125,1,3.005577121521384,0
R000157,109.24125,23.134027777777778,859.5205078125,240.0,1099.5205078125,1,3.0047458343546367,0
R000158,109.24125,23.134027777777778,859.5205078125,260.0,1119.5205078125,1,3.0038970586050624,0
R000159,109.24125,23.134027777777778,859.5205078125,280.0,1139.5205078125,1,3.0030308045558343,0
R000160,109.24125,23.134027777777778,859.5205078125,300.0,1159.5205078125,1,3.0021470826970784,0
R000161,109.24236111111111,23.134027777777778,856.5929565429688,40.0,896.5929565429688,1,3.0067402029182517,0
R000162,109.24236111111111,23.134027777777778,856.5929565429688,60.0,916.5929565429688,1,3.006070182824999,0
R000163,109.24236111111111,23.134027777777778,856.5929565429688,80.0,936.5929565429688,1,3.0053826123775877,0
R000164,109.24236111111111,23.134027777777778,856.5929565429688,100.0,956.5929565429688,1,3.004677499926899,0
R000165,109.24236111111111,23.134027777777778,856.5929565429688,120.0,976.5929565429688,1,3.0039548540336938,0
R000166,109.24236111111111,23.134027777777778,856.5929565429688,140.0,996.5929565429688,1,3.0032146834682294,0
