gap_id,pattern_id,coverage_start_s,coverage_end_s,before_state_id,after_state_id,required_samples,relay_alternatives,full_cover_alternatives,union_covered_samples,union_cover_pass
PG000262,P000316,1154.285,1895.405,BS000029,BS000006,75,14,14,75,1
PG000271,P000330,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000273,P000332,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000274,P000334,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000276,P000336,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000278,P000338,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000280,P000340,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000282,P000342,1214.285,1955.405,BS000029,BS000006,75,14,14,75,1
PG000216,P000265,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000218,P000267,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000220,P000269,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000223,P000273,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000225,P000275,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000227,P000277,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000229,P000279,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000231,P000281,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000233,P000283,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000235,P000285,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000237,P000287,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000249,P000301,900.18,1643.786,BS000005,BS000030,75,14,14,75,1
PG000251,P000303,900.18,1643.786,BS000005,BS000030,75,14,14,75,1
PG000253,P000305,900.18,1643.786,BS000005,BS000030,75,14,14,75,1
PG000256,P000309,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000258,P000311,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000260,P000313,870.18,1613.786,BS000005,BS000030,75,14,14,75,1
PG000272,P000331,900.18,1643.786,BS000005,BS000030,75,14,14,75,1
PG000275,P000335,900.18,1643.786,BS000005,BS000030,75,14,14,75,1
PG000277,P000337,900.18,1643.786,BS000005,BS000030,75,14,14,75,1
PG000279,P000339,900.18,1643.786,BS000005,BS000030,75,14,14,75,1
PG000281,P000341,900.18,1643.786,BS000005,BS000030,75,14,14,75,1
PG000240,P000292,1184.285,1955.405,BS000029,BS000006,78,14,14,78,1
PG000242,P000294,1184.285,1955.405,BS000029,BS000006,78,14,14,78,1
PG000244,P000296,1184.285,1955.405,BS000029,BS000006,78,14,14,78,1
PG000246,P000298,1184.285,1955.405,BS000029,BS000006,78,14,14,78,1
PG000263,P000318,1184.285,1955.405,BS000029,BS000006,78,14,14,78,1
PG000265,P000320,1184.285,1955.405,BS000029,BS000006,78,14,14,78,1
PG000267,P000322,1184.285,1955.405,BS000029,BS000006,78,14,14,78,1
PG000269,P000324,1184.285,1955.405,BS000029,BS000006,78,14,14,78,1
PG000241,P000293,900.18,1673.786,BS000005,BS000030,78,14,14,78,1
PG000243,P000295,900.18,1673.786,BS000005,BS000030,78,14,14,78,1
PG000245,P000297,900.18,1673.786,BS000005,BS000030,78,14,14,78,1
PG000247,P000299,900.18,1673.786,BS000005,BS000030,78,14,14,78,1
PG000264,P000319,900.18,1673.786,BS000005,BS000030,78,14,14,78,1
PG000266,P000321,900.18,1673.786,BS000005,BS000030,78,14,14,78,1
PG000268,P000323,900.18,1673.786,BS000005,BS000030,78,14,14,78,1
PG000270,P000325,900.18,1673.786,BS000005,BS000030,78,14,14,78,1
PG000283,P000344,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000285,P000346,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000287,P000348,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000289,P000350,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000290,P000352,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000292,P000354,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000294,P000356,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000296,P000358,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000299,P000362,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000301,P000364,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000303,P000366,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000313,P000380,1083.405,1560.28,BS000031,BS000008,48,8,8,48,1
PG000315,P000382,1083.405,1560.28,BS000031,BS000008,48,8,8,48,1
PG000317,P000384,1083.405,1560.28,BS000031,BS000008,48,8,8,48,1
PG000319,P000392,1023.405,1500.28,BS000031,BS000008,48,8,8,48,1
PG000329,P000410,1083.405,1560.28,BS000031,BS000008,48,8,8,48,1
PG000331,P000414,1083.405,1560.28,BS000031,BS000008,48,8,8,48,1
PG000333,P000416,1083.405,1560.28,BS000031,BS000008,48,8,8,48,1
PG000335,P000418,1083.405,1560.28,BS000031,BS000008,48,8,8,48,1
PG000337,P000420,1083.405,1560.28,BS000031,BS000008,48,8,8,48,1
PG000339,P000422,1083.405,1560.28,BS000031,BS000008,48,8,8,48,1
PG000284,P000345,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000286,P000347,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000288,P000349,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000291,P000353,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000293,P000355,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000295,P000357,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000297,P000359,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000298,P000361,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000300,P000363,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000302,P000365,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000304,P000367,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000314,P000381,836.237,1311.015,BS000007,BS000032,49,8,8,49,1
PG000316,P000383,836.237,1311.015,BS000007,BS000032,49,8,8,49,1
PG000318,P000385,836.237,1311.015,BS000007,BS000032,49,8,8,49,1
PG000320,P000393,806.237,1281.015,BS000007,BS000032,49,8,8,49,1
PG000330,P000411,836.237,1311.015,BS000007,BS000032,49,8,8,49,1
PG000332,P000415,836.237,1311.015,BS000007,BS000032,49,8,8,49,1
PG000334,P000417,836.237,1311.015,BS000007,BS000032,49,8,8,49,1
PG000336,P000419,836.237,1311.015,BS000007,BS000032,49,8,8,49,1
PG000338,P000421,836.237,1311.015,BS000007,BS000032,49,8,8,49,1
PG000305,P000372,1053.405,1560.28,BS000031,BS000008,51,8,8,51,1
PG000307,P000374,1053.405,1560.28,BS000031,BS000008,51,8,8,51,1
PG000309,P000376,1053.405,1560.28,BS000031,BS000008,51,8,8,51,1
PG000311,P000378,1053.405,1560.28,BS000031,BS000008,51,8,8,51,1
PG000321,P000398,1053.405,1560.28,BS000031,BS000008,51,8,8,51,1
PG000323,P000400,1053.405,1560.28,BS000031,BS000008,51,8,8,51,1
PG000325,P000402,1053.405,1560.28,BS000031,BS000008,51,8,8,51,1
PG000327,P000404,1053.405,1560.28,BS000031,BS000008,51,8,8,51,1
PG000306,P000373,836.237,1341.015,BS000007,BS000032,52,8,8,52,1
PG000308,P000375,836.237,1341.015,BS000007,BS000032,52,8,8,52,1
PG000310,P000377,836.237,1341.015,BS000007,BS000032,52,8,8,52,1
PG000312,P000379,836.237,1341.015,BS000007,BS000032,52,8,8,52,1
PG000322,P000399,836.237,1341.015,BS000007,BS000032,52,8,8,52,1
PG000324,P000401,836.237,1341.015,BS000007,BS000032,52,8,8,52,1
PG000326,P000403,836.237,1341.015,BS000007,BS000032,52,8,8,52,1
PG000328,P000405,836.237,1341.015,BS000007,BS000032,52,8,8,52,1
PG000340,P000504,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000342,P000506,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000344,P000508,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000346,P000510,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000347,P000512,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000349,P000514,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000351,P000516,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000353,P000518,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000356,P000522,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000358,P000524,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000360,P000526,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
PG000362,P000528,1324.417,1716.817,BS000033,BS000010,40,8,8,40,1
