task_id,tau,x,y,z,phase,node
R000003,380.0,109.2308517,23.0085095,187.7,climb,O01
R000003,390.0,109.2308517,23.0085095,217.70000000000002,climb,O01
R000003,400.0,109.2308517,23.0085095,247.7,climb,O01
R000003,410.0,109.2308517,23.0085095,277.7,climb,O01
R000003,411.3276306152344,109.2308517,23.0085095,281.6828918457031,cruise,
R000003,421.3276306152344,109.2313366580725,23.009492060889468,281.6828918457031,cruise,
R000003,431.3276306152344,109.23182161614497,23.010474621778936,281.6828918457031,cruise,
R000003,441.3276306152344,109.23230657421746,23.011457182668405,281.6828918457031,cruise,
R000003,451.3276306152344,109.23279153228995,23.012439743557874,281.6828918457031,cruise,
R000003,461.3276306152344,109.23327649036244,23.013422304447342,281.6828918457031,cruise,
R000003,471.3276306152344,109.23376144843492,23.01440486533681,281.6828918457031,cruise,
R000003,481.3276306152344,109.23424640650741,23.01538742622628,281.6828918457031,cruise,
R000003,491.3276306152344,109.2347313645799,23.01636998711575,281.6828918457031,cruise,
R000003,501.3276306152344,109.23521632265238,23.017352548005217,281.6828918457031,cruise,
R000003,511.3276306152344,109.23570128072487,23.018335108894686,281.6828918457031,cruise,
R000003,521.3276306152344,109.23618623879736,23.019317669784154,281.6828918457031,cruise,
R000003,531.3276306152344,109.23667119686984,23.020300230673623,281.6828918457031,cruise,
R000003,541.3276306152344,109.23715615494233,23.02128279156309,281.6828918457031,cruise,
R000003,551.3276306152344,109.23764111301482,23.02226535245256,281.6828918457031,cruise,
R000003,561.3276306152344,109.23812607108731,23.02324791334203,281.6828918457031,cruise,
R000003,571.3276306152344,109.23861102915978,23.024230474231498,281.6828918457031,cruise,
R000003,581.3276306152344,109.23909598723228,23.025213035120967,281.6828918457031,cruise,
R000003,591.3276306152344,109.23958094530477,23.026195596010435,281.6828918457031,cruise,
R000003,601.3276306152344,109.24006590337724,23.027178156899904,281.6828918457031,cruise,
R000003,611.3276306152344,109.24055086144973,23.028160717789373,281.6828918457031,cruise,
R000003,621.3276306152344,109.24103581952222,23.02914327867884,281.6828918457031,cruise,
R000003,631.3276306152344,109.2415207775947,23.03012583956831,281.6828918457031,cruise,
R000003,641.3276306152344,109.24200573566719,23.03110840045778,281.6828918457031,cruise,
R000003,651.3276306152344,109.24249069373968,23.03209096134725,281.6828918457031,cruise,
R000003,661.3276306152344,109.24297565181217,23.03307352223672,281.6828918457031,cruise,
R000003,666.6115551928008,109.2432319,23.0335927,281.6828918457031,descend,S001
