type,service,N_f,E_total,T_total,batch_idx,n_boxes,mass,volume,energy_kWh,time_s
A,S012,2,5.780346194414635,4160.829365670207,0,1,14.0,0.027,2.9114301427790448,2050.4146828351036
A,S013,2,3.819702504884883,3164.0467838093027,4,2,11.0,0.04,1.895441441300517,1612.0233919046514
A,S013,2,3.819702504884883,3164.0467838093027,0,1,14.0,0.027,1.9242610635843662,1552.0233919046514
A,S014,2,4.462912137083595,3917.9222107404817,4,2,11.0,0.04,2.214459791976608,1988.9611053702408
A,S014,2,4.462912137083595,3917.9222107404817,0,1,14.0,0.027,2.248452345106987,1928.9611053702408
A,S015,2,4.828918962262246,3880.4196939536396,4,2,11.0,0.04,2.3959634179615277,1970.2098469768198
A,S015,2,4.828918962262246,3880.4196939536396,0,1,14.0,0.027,2.432955544300718,1910.2098469768198
B,S001,7,7.773769961696538,8112.501152371609,146,3,20.0,0.051000000000000004,1.0770845709208954,1210.3573074816584
B,S001,7,7.773769961696538,8112.501152371609,18,2,20.0,0.062,1.0770845709208954,1150.3573074816584
B,S001,7,7.773769961696538,8112.501152371609,38,2,20.0,0.062,1.0770845709208954,1150.3573074816584
B,S001,7,7.773769961696538,8112.501152371609,55,2,22.0,0.055,1.1061855138834067,1150.3573074816584
B,S001,7,7.773769961696538,8112.501152371609,71,2,22.0,0.055,1.1061855138834067,1150.3573074816584
B,S001,7,7.773769961696538,8112.501152371609,86,2,22.0,0.055,1.1061855138834067,1150.3573074816584
B,S001,7,7.773769961696538,8112.501152371609,101,2,28.0,0.054,1.2239597072836312,1150.3573074816584
B,S002,4,10.162502031326857,7039.554690113811,33,2,17.0,0.039,2.44024626994997,1759.8886725284528
B,S002,4,10.162502031326857,7039.554690113811,8,2,20.0,0.062,2.5278631894397154,1759.8886725284528
B,S002,4,10.162502031326857,7039.554690113811,15,2,22.0,0.055,2.597196285968586,1759.8886725284528
B,S002,4,10.162502031326857,7039.554690113811,21,2,22.0,0.055,2.597196285968586,1759.8886725284528
B,S003,4,10.389982962012432,8080.965899185801,33,2,17.0,0.039,2.496305935550539,2020.2414747964503
B,S003,4,10.389982962012432,8080.965899185801,8,2,20.0,0.062,2.584789173829935,2020.2414747964503
B,S003,4,10.389982962012432,8080.965899185801,15,2,22.0,0.055,2.654443926315979,2020.2414747964503
B,S003,4,10.389982962012432,8080.965899185801,21,2,22.0,0.055,2.654443926315979,2020.2414747964503
B,S004,3,8.016318794023395,5777.313028643757,17,2,17.0,0.039,2.586356071937873,1925.7710095479192
B,S004,3,8.016318794023395,5777.313028643757,5,2,20.0,0.062,2.678558384203423,1925.7710095479192
B,S004,3,8.016318794023395,5777.313028643757,9,2,22.0,0.055,2.751404337882099,1925.7710095479192
B,S005,3,5.511421226564861,4557.073033235564,17,2,17.0,0.039,1.7783066572354151,1519.0243444118548
B,S005,3,5.511421226564861,4557.073033235564,5,2,20.0,0.062,1.8415740398580562,1519.0243444118548
B,S005,3,5.511421226564861,4557.073033235564,9,2,22.0,0.055,1.8915405294713898,1519.0243444118548
B,S006,3,3.400906799780698,3619.7420589367102,17,2,17.0,0.039,1.097134517615153,1206.5806863122368
B,S006,3,3.400906799780698,3619.7420589367102,5,2,20.0,0.062,1.1364459809209513,1206.5806863122368
B,S006,3,3.400906799780698,3619.7420589367102,9,2,22.0,0.055,1.1673263012445938,1206.5806863122368
B,S007,2,3.4360796235432383,3212.3804163049203,8,3,25.0,0.067,1.7797961289606792,1636.1902081524602
B,S007,2,3.4360796235432383,3212.3804163049203,4,2,20.0,0.062,1.656283494582559,1576.1902081524602
B,S008,2,5.759471131492537,3871.777236984406,8,3,25.0,0.067,2.986013277988837,1965.888618492203
B,S008,2,5.759471131492537,3871.777236984406,4,2,20.0,0.062,2.7734578535037,1905.888618492203
B,S009,1,2.1024528395672246,1560.7787366148573,2,3,25.0,0.067,2.1024528395672246,1560.7787366148573
B,S010,1,1.8210449428989826,1554.5713591276817,2,3,25.0,0.067,1.8210449428989826,1554.5713591276817
B,S011,1,1.077171254529726,1189.630285736439,2,3,25.0,0.067,1.077171254529726,1189.630285736439
B,S012,1,2.7552342804549035,1923.80003809751,2,3,25.0,0.067,2.7552342804549035,1923.80003809751
B,S013,1,1.824566933772147,1510.4000484846588,2,3,25.0,0.067,1.824566933772147,1510.4000484846588
B,S014,1,2.137304308171069,1868.5974513534843,2,3,25.0,0.067,2.137304308171069,1868.5974513534843
B,S015,1,2.3109026130195294,1829.5729924903098,2,3,25.0,0.067,2.3109026130195294,1829.5729924903098
C,S001,2,5.930962831980194,3188.852355034931,17112,9,76.0,0.23100000000000004,2.92626894731049,1693.4261775174655
C,S001,2,5.930962831980194,3188.852355034931,5,6,78.0,0.163,3.0046938846697038,1495.4261775174655
C,S002,2,10.452613814165982,3958.0135144904993,197,4,39.0,0.094,5.187321479975067,1979.0067572452497
C,S002,2,10.452613814165982,3958.0135144904993,47,4,42.0,0.117,5.2652923341909155,1979.0067572452497
C,S003,2,10.494493439524092,4607.619041715297,220,5,39.0,0.13,5.207715133255133,2369.8095208576483
C,S003,2,10.494493439524092,4607.619041715297,2,3,42.0,0.081,5.28677830626896,2237.8095208576483
C,S004,1,6.1769107423796425,2305.184064967841,5,6,59.0,0.15600000000000003,6.1769107423796425,2305.184064967841
C,S005,1,4.2387743677705485,1880.044640635813,5,6,59.0,0.15600000000000003,4.2387743677705485,1880.044640635813
C,S006,1,2.5939758810401803,1560.8632994307266,5,6,59.0,0.15600000000000003,2.5939758810401803,1560.8632994307266
C,S007,1,3.4104434057083766,1907.4812665020695,4,5,45.0,0.129,3.4104434057083766,1907.4812665020695
C,S008,1,5.857489201651335,2203.7583959173335,4,5,45.0,0.129,5.857489201651335,2203.7583959173335
C,S009,1,3.780655381020191,1646.9050407326959,2,3,25.0,0.067,3.780655381020191,1646.9050407326959
C,S010,1,3.226071420167962,1667.9002043425255,2,3,25.0,0.067,3.226071420167962,1667.9002043425255
C,S011,1,1.9058790476563696,1279.450870860137,2,3,25.0,0.067,1.9058790476563696,1279.450870860137
C,S012,1,4.927151570527744,2041.650369721859,2,3,25.0,0.067,4.927151570527744,2041.650369721859
C,S013,1,3.2487935027871178,1611.560656394815,2,3,25.0,0.067,3.2487935027871178,1611.560656394815
C,S014,1,3.7331475239145524,2034.1299139185885,2,3,25.0,0.067,3.7331475239145524,2034.1299139185885
C,S015,1,4.08161388049806,1967.8060776140078,2,3,25.0,0.067,4.08161388049806,1967.8060776140078
