candidate_id,dem_row,dem_col,lon,lat,ground_height,agl_height,absolute_height,relay_g01_margin_db,horizontal_distance_to_O01_m
RP052431,722,614,109.20347222222222,23.02402777777778,431.46978759765625,20.0,451.46978759765625,5.562918793938209,3290.9286642399843
RP052447,722,618,109.20458333333332,23.02402777777778,414.5950012207031,40.0,454.5950012207031,5.817763849880478,3194.650377772504
RP052485,722,626,109.20680555555556,23.02402777777778,353.5853271484375,200.0,553.5853271484375,6.3085619675515545,3005.752007897508
RP052578,722,650,109.21347222222222,23.02402777777778,270.96484375,260.0,530.96484375,7.960584126493487,2478.218551334192
RP053285,722,838,109.26569444444443,23.02402777777778,330.4585876464844,300.0,630.4585876464844,3.9246140445798687,3961.6602475689815
RP053293,722,842,109.26680555555556,23.02402777777778,368.0219421386719,160.0,528.0219421386719,3.728540909293315,4064.3290875078415
RP053298,722,842,109.26680555555556,23.02402777777778,368.0219421386719,260.0,628.0219421386719,3.7061658014631007,4064.3290875078415
RP053327,722,850,109.26902777777778,23.02402777777778,367.2567138671875,240.0,607.2567138671875,3.284907672640486,4271.346852103875
RP053328,722,850,109.26902777777778,23.02402777777778,367.2567138671875,260.0,627.2567138671875,3.2804896830352845,4271.346852103875
RP053329,722,850,109.26902777777778,23.02402777777778,367.2567138671875,280.0,647.2567138671875,3.275888296941148,4271.346852103875
RP053340,722,854,109.2701388888889,23.02402777777778,389.3804931640625,200.0,589.3804931640625,3.081381253591076,4375.616289848629
RP053342,722,854,109.2701388888889,23.02402777777778,389.3804931640625,240.0,629.3804931640625,3.0730949269271264,4375.616289848629
RP053344,722,854,109.2701388888889,23.02402777777778,389.3804931640625,280.0,669.3804931640625,3.064108561121444,4375.616289848629
RP053416,722,874,109.27569444444444,23.02402777777778,403.2000122070313,220.0,623.2000122070312,2.095839846258542,4903.270611953831
RP053931,726,590,109.19680555555556,23.022916666666667,588.8419799804688,20.0,608.8419799804688,4.208047789745649,3835.202656782119
RP053935,726,590,109.19680555555556,23.022916666666667,588.8419799804688,100.0,688.8419799804688,4.184770738191276,3835.202656782119
RP053936,726,590,109.19680555555556,23.022916666666667,588.8419799804688,120.0,708.8419799804688,4.178392680986946,3835.202656782119
RP053946,726,594,109.19791666666669,23.022916666666667,553.9520874023438,20.0,573.9520874023438,4.4506138992854005,3732.180199355554
RP053952,726,594,109.19791666666669,23.022916666666667,553.9520874023438,140.0,693.9520874023438,4.414841254912517,3732.180199355554
RP053953,726,594,109.19791666666669,23.022916666666667,553.9520874023438,160.0,713.9520874023438,4.408054171808331,3732.180199355554
RP053961,726,598,109.19902777777776,23.022916666666667,517.396484375,20.0,537.396484375,4.698726915979364,3629.796640659969
RP053969,726,598,109.19902777777776,23.022916666666667,517.396484375,180.0,697.396484375,4.650017934452151,3629.796640659969
RP054008,726,610,109.20236111111112,23.022916666666667,511.80413818359375,60.0,571.8041381835938,5.434893283864042,3327.067391860947
RP054015,726,610,109.20236111111112,23.022916666666667,511.80413818359375,200.0,711.8041381835938,5.38180295385115,3327.067391860947
RP054016,726,610,109.20236111111112,23.022916666666667,511.80413818359375,220.0,731.8041381835938,5.373053112206293,3327.067391860947
RP054021,726,614,109.20347222222222,23.022916666666667,450.5096435546875,20.0,470.5096435546875,5.724602587877371,3227.8618314414125
RP054036,726,618,109.20458333333332,23.022916666666667,404.7940368652344,20.0,424.7940368652344,6.002304144043677,3129.643999876335
RP054037,726,618,109.20458333333332,23.022916666666667,404.7940368652344,40.0,444.7940368652344,5.9972544058661725,3129.643999876335
RP054040,726,618,109.20458333333332,23.022916666666667,404.7940368652344,100.0,504.7940368652344,5.980038691913364,3129.643999876335
RP054073,726,626,109.20680555555556,23.022916666666667,342.22088623046875,160.0,502.2208862304688,6.526457166316646,2936.566985910561
RP054075,726,626,109.20680555555556,23.022916666666667,342.22088623046875,200.0,542.2208862304688,6.511608894283043,2936.566985910561
RP054084,726,630,109.20791666666666,23.022916666666667,359.244140625,80.0,439.244140625,6.828336235249168,2841.9359944303687
RP054085,726,630,109.20791666666666,23.022916666666667,359.244140625,100.0,459.244140625,6.821922211510696,2841.9359944303687
RP054089,726,630,109.20791666666666,23.022916666666667,359.244140625,180.0,539.244140625,6.792136448966417,2841.9359944303687
RP054090,726,630,109.20791666666666,23.022916666666667,359.244140625,200.0,559.244140625,6.783668265745675,2841.9359944303687
RP054091,726,630,109.20791666666666,23.022916666666667,359.244140625,220.0,579.244140625,6.77479603184922,2841.9359944303687
RP054106,726,634,109.20902777777778,23.022916666666667,323.2172546386719,220.0,543.2172546386719,7.074363582181817,2748.7523934201613
RP054884,726,842,109.26680555555556,23.022916666666667,347.028564453125,180.0,527.028564453125,3.837216031281045,4013.433874043805
RP054889,726,842,109.26680555555556,23.022916666666667,347.028564453125,280.0,627.028564453125,3.8143282714707567,4013.433874043805
RP054962,726,862,109.27236111111112,23.022916666666667,414.2554931640625,240.0,654.2554931640625,2.7504690900575923,4540.453874489299
