pattern_id,gap_id,gap_index,tau_start,tau_end,duration_s,coverage_start,coverage_end,coverage_duration_s,n_outage_samples,before_tau,before_direct,before_x,before_y,before_z,before_phase,before_node,before_margin_db,after_tau,after_direct,after_x,after_y,after_z,after_phase,after_node,after_margin_db
P003930,PG002824,1,761.736,1485.133,723.397,751.736,1485.133,733.397,75,751.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1485.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003930,PG002825,2,1515.133,1585.133,70.0,1505.133,1585.133,80.0,7,1505.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1585.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003937,PG002826,1,1039.231,1109.231,70.0,1029.231,1109.231,80.0,7,1029.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1109.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
P003937,PG002827,2,1139.231,1840.467,701.236,1129.231,1840.467,711.236,71,1129.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1840.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003938,PG002828,1,761.736,1485.133,723.397,751.736,1485.133,733.397,75,751.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1485.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003938,PG002829,2,1515.133,1585.133,70.0,1505.133,1585.133,80.0,7,1505.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1585.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003951,PG002830,1,1069.231,1139.231,70.0,1059.231,1139.231,80.0,7,1059.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1139.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
P003951,PG002831,2,1169.231,1840.467,671.236,1159.231,1840.467,681.236,68,1159.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1840.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003952,PG002832,1,761.736,1455.133,693.397,751.736,1455.133,703.397,72,751.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1455.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003952,PG002833,2,1485.133,1555.133,70.0,1475.133,1555.133,80.0,7,1475.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1555.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003959,PG002834,1,1069.231,1139.231,70.0,1059.231,1139.231,80.0,7,1059.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1139.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
P003959,PG002835,2,1169.231,1840.467,671.236,1159.231,1840.467,681.236,68,1159.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1840.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003960,PG002836,1,761.736,1455.133,693.397,751.736,1455.133,703.397,72,751.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1455.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003960,PG002837,2,1485.133,1555.133,70.0,1475.133,1555.133,80.0,7,1475.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1555.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003965,PG002838,1,1099.231,1169.231,70.0,1089.231,1169.231,80.0,7,1089.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1169.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
P003965,PG002839,2,1199.231,1900.467,701.236,1189.231,1900.467,711.236,71,1189.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1900.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003966,PG002840,1,791.736,1515.133,723.397,781.736,1515.133,733.397,75,781.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1515.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003966,PG002841,2,1545.133,1615.133,70.0,1535.133,1615.133,80.0,7,1535.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1615.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003967,PG002842,1,1099.231,1169.231,70.0,1089.231,1169.231,80.0,7,1089.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1169.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
P003967,PG002843,2,1199.231,1900.467,701.236,1189.231,1900.467,711.236,71,1189.231,1,109.22718241427184,23.05776777521336,366.78717041015625,cruise,,7.147219742190757,1900.467,1,109.22078425598859,23.04799176386863,372.9093322753906,cruise,,8.85240915902888
P003968,PG002844,1,791.736,1515.133,723.397,781.736,1515.133,733.397,75,781.736,1,109.22147513467998,23.045282292153264,372.9093322753906,cruise,,9.468262821122252,1515.133,1,109.22726816327786,23.057638612902196,366.78717041015625,cruise,,7.170824020288308
P003968,PG002845,2,1545.133,1615.133,70.0,1535.133,1615.133,80.0,7,1535.133,1,109.22879668572816,23.05533622478664,366.78717041015625,cruise,,7.599452376317572,1615.133,1,109.23491077552936,23.046126672324405,366.78717041015625,cruise,,9.461950982763199
P003969,PG002846,1,1099.231,1169.231,70.0,1089.231,1169.231,80.0,7,1089.231,1,109.23482502652334,23.04625583463557,366.78717041015625,cruise,,9.434304197003115,1169.231,1,109.22871093672214,23.055465387097804,366.78717041015625,cruise,,7.575009801700304
