state_id,candidate_id,access_margin_db,relay_g01_margin_db,two_hop_margin_db
OS005319,RP003070,7.884118041464319,8.96249387360254,7.884118041464319
OS005320,RP003070,6.415949136788413,8.96249387360254,6.415949136788413
OS005321,RP003070,5.154659694373521,8.96249387360254,5.154659694373521
OS005322,RP003070,4.0502462540354145,8.96249387360254,4.0502462540354145
OS005323,RP003070,3.0685649443184104,8.96249387360254,3.0685649443184104
OS005324,RP003070,2.18537851560356,8.96249387360254,2.18537851560356
OS005325,RP003070,1.382909526025145,8.96249387360254,1.382909526025145
OS005332,RP003070,8.133621840897618,8.96249387360254,8.133621840897618
OS005333,RP003070,8.257996538769788,8.96249387360254,8.257996538769788
OS005334,RP003070,8.372348557047232,8.96249387360254,8.372348557047232
OS005335,RP003070,8.475772832953254,8.96249387360254,8.475772832953254
OS005336,RP003070,8.567400557364522,8.96249387360254,8.567400557364522
OS005337,RP003070,8.646420077280865,8.96249387360254,8.646420077280865
OS005338,RP003070,8.712098328357087,8.96249387360254,8.712098328357087
OS005339,RP003070,8.743115914823676,8.96249387360254,8.743115914823676
OS005340,RP003070,10.713304198168757,8.96249387360254,8.96249387360254
OS005341,RP003070,13.225066563167871,8.96249387360254,8.96249387360254
OS005342,RP003070,16.62221234385177,8.96249387360254,8.96249387360254
OS005343,RP003070,21.314202732394676,8.96249387360254,8.96249387360254
OS005344,RP003070,23.51026787491962,8.96249387360254,8.96249387360254
OS005345,RP003070,18.871191190482648,8.96249387360254,8.96249387360254
OS005346,RP003070,14.82476799864331,8.96249387360254,8.96249387360254
OS005347,RP003070,11.916130727094284,8.96249387360254,8.96249387360254
OS005348,RP003070,9.699184445180904,8.96249387360254,8.96249387360254
OS005349,RP003070,7.919273590849684,8.96249387360254,7.919273590849684
OS005350,RP003070,6.435944719676101,8.96249387360254,6.435944719676101
OS005351,RP003070,5.1658510921494525,8.96249387360254,5.1658510921494525
OS005352,RP003070,4.0560220509939455,8.96249387360254,4.0560220509939455
OS005353,RP003070,3.070866601378583,8.96249387360254,3.070866601378583
OS005487,RP003070,8.133621840897618,8.96249387360254,8.133621840897618
OS005488,RP003070,8.257996538769788,8.96249387360254,8.257996538769788
OS005489,RP003070,8.372348557047232,8.96249387360254,8.372348557047232
