candidate_id,lon,lat,ground_height_m,agl_height_m,hover_absolute_height_m,horizontal_distance_m,max_dem_height_m,cruise_height_m,outbound_climb_m,outbound_descent_m,return_climb_m,return_descent_m,outbound_time_s,return_time_s,outbound_energy_kWh,return_energy_kWh,roundtrip_flight_energy_kWh,lead_time_s
RP054007,109.20236111111112,23.022916666666667,511.80413818359375,40.0,551.8041381835938,3327.067391860947,511.80413818359375,561.8041381835938,434.10413818359376,10.0,10.0,434.10413818359376,333.66386066996154,369.00587218526107,0.10945067232970698,0.07174331897404485,0.18119399130375183,543.6638606699615
RP054008,109.20236111111112,23.022916666666667,511.80413818359375,60.0,571.8041381835938,3327.067391860947,511.80413818359375,571.8041381835938,444.10413818359376,0.0,0.0,444.10413818359376,332.8305273366282,369.8392055185944,0.11033977832893538,0.07085421297481645,0.18119399130375183,542.8305273366282
RP054015,109.20236111111112,23.022916666666667,511.80413818359375,200.0,711.8041381835938,3327.067391860947,511.80413818359375,711.8041381835938,584.1041381835937,0.0,0.0,584.1041381835937,367.8305273366282,416.50587218526107,0.12278726231813292,0.07085421297481645,0.19364147529294937,577.8305273366282
RP054016,109.20236111111112,23.022916666666667,511.80413818359375,220.0,731.8041381835938,3327.067391860947,511.80413818359375,731.8041381835938,604.1041381835937,0.0,0.0,604.1041381835937,372.8305273366282,423.1725388519277,0.12456547431658971,0.07085421297481645,0.19541968729140616,582.8305273366282
RP054021,109.20347222222222,23.022916666666667,450.5096435546875,20.0,470.5096435546875,3227.8618314414125,450.5096435546875,500.5096435546875,372.8096435546875,30.0,30.0,372.8096435546875,318.3931996514327,346.9606699476567,0.10188823103134914,0.07140881996356711,0.17329705099491627,528.3931996514327
RP054036,109.20458333333332,23.022916666666667,404.7940368652344,20.0,424.7940368652344,3129.643999876335,405.4085998535156,455.4085998535156,327.70859985351564,30.61456298828125,30.61456298828125,327.70859985351564,300.774937617895,325.53277402333117,0.09578659413614214,0.06937178508495595,0.1651583792210981,510.774937617895
RP054037,109.20458333333332,23.022916666666667,404.7940368652344,40.0,444.7940368652344,3129.643999876335,405.4085998535156,455.4085998535156,327.70859985351564,10.61456298828125,10.61456298828125,327.70859985351564,294.10827095122835,320.53277402333117,0.09578659413614214,0.06759357308649917,0.16338016722264131,504.10827095122835
RP054040,109.20458333333332,23.022916666666667,404.7940368652344,100.0,504.7940368652344,3129.643999876335,405.4085998535156,504.7940368652344,377.0940368652344,0.0,0.0,377.0940368652344,302.9164425413976,334.3409456135005,0.10017748296830566,0.06664982592329231,0.16682730889159797,512.9164425413976
RP054073,109.20680555555556,23.022916666666667,342.22088623046875,160.0,502.22088623046875,2936.566985910561,342.22088623046875,502.22088623046875,374.52088623046876,0.0,0.0,374.52088623046876,289.4013539516546,320.6114278041937,0.09583687730425755,0.06253800062587306,0.1583748779301306,499.4013539516546
RP054075,109.20680555555556,23.022916666666667,342.22088623046875,200.0,542.2208862304688,2936.566985910561,342.22088623046875,542.2208862304688,414.52088623046876,0.0,0.0,414.52088623046876,299.4013539516546,333.944761137527,0.09939330130117113,0.06253800062587306,0.1619313019270442,509.4013539516546
RP054084,109.20791666666666,23.022916666666667,359.244140625,80.0,439.244140625,2841.9359944303687,359.244140625,439.244140625,311.544140625,0.0,0.0,311.544140625,267.3484347849413,293.31044650369125,0.08822228743791281,0.06052271099249859,0.1487449984304114,477.3484347849413
RP054085,109.20791666666666,23.022916666666667,359.244140625,100.0,459.244140625,2841.9359944303687,359.244140625,459.244140625,331.544140625,0.0,0.0,331.544140625,272.3484347849413,299.97711317035794,0.0900004994363696,0.06052271099249859,0.15052321042886818,482.3484347849413
RP054089,109.20791666666666,23.022916666666667,359.244140625,180.0,539.244140625,2841.9359944303687,359.244140625,539.244140625,411.544140625,0.0,0.0,411.544140625,292.3484347849413,326.64377983702457,0.09711334743019676,0.06052271099249859,0.15763605842269535,502.3484347849413
RP054090,109.20791666666666,23.022916666666667,359.244140625,200.0,559.244140625,2841.9359944303687,359.244140625,559.244140625,431.544140625,0.0,0.0,431.544140625,297.3484347849413,333.31044650369125,0.09889155942865355,0.06052271099249859,0.15941427042115214,507.3484347849413
RP054091,109.20791666666666,23.022916666666667,359.244140625,220.0,579.244140625,2841.9359944303687,359.244140625,579.244140625,451.544140625,0.0,0.0,451.544140625,302.3484347849413,339.97711317035794,0.10066977142711034,0.06052271099249859,0.16119248241960893,512.3484347849412
RP054106,109.20902777777778,23.022916666666667,323.2172546386719,220.0,543.2172546386719,2748.7523934201613,323.2172546386719,543.2172546386719,415.5172546386719,0.0,0.0,415.5172546386719,287.12947322101206,321.75591110756807,0.09548213380364493,0.05853824541542935,0.15402037921907427,497.12947322101206
RP054884,109.26680555555556,23.022916666666667,347.028564453125,180.0,527.028564453125,4013.433874043805,350.931396484375,527.028564453125,399.328564453125,0.0,0.0,399.328564453125,367.39439938286824,400.671779753962,0.12097581917908279,0.08547127694722917,0.20644709612631196,577.3943993828682
RP054889,109.26680555555556,23.022916666666667,347.028564453125,280.0,627.028564453125,4013.433874043805,350.931396484375,627.028564453125,499.328564453125,0.0,0.0,499.328564453125,392.39439938286824,434.00511308729534,0.12986687917136674,0.08547127694722917,0.2153381561185959,602.3943993828682
RP054962,109.27236111111112,23.022916666666667,414.2554931640625,240.0,654.2554931640625,4540.453874489299,414.2554931640625,654.2554931640625,526.5554931640625,0.0,0.0,526.5554931640625,434.33579825696887,478.2154226873074,0.14351121582067403,0.09669485103079062,0.24020606685146464,644.3357982569689
RP054963,109.27236111111112,23.022916666666667,414.2554931640625,260.0,674.2554931640625,4540.453874489299,414.2554931640625,674.2554931640625,546.5554931640625,0.0,0.0,546.5554931640625,439.33579825696887,484.88208935397404,0.14528942781913082,0.09669485103079062,0.24198427884992144,649.3357982569689
RP054991,109.27458333333334,23.022916666666667,447.779296875,220.0,667.779296875,4753.946180574795,447.779296875,667.779296875,540.079296875,0.0,0.0,540.079296875,451.949569590403,496.95617766331964,0.1492602207292285,0.10124144643816692,0.2505016671673954,661.9495695904029
RP055527,109.19680555555556,23.02180555555556,553.846435546875,140.0,693.846435546875,3785.259451222373,553.846435546875,693.846435546875,566.146435546875,0.0,0.0,566.146435546875,393.8872389682103,441.06610859711657,0.1309484260602374,0.08061200683158758,0.21156043289182497,603.8872389682103
RP055543,109.19791666666669,23.02180555555556,549.7965698242188,160.0,709.7965698242188,3680.83940629598,549.7965698242188,709.7965698242188,582.0965698242187,0.0,0.0,582.0965698242187,390.91343620912005,439.4214836944716,0.13014280185166083,0.07838824661556253,0.20853104846722337,600.91343620912
RP055544,109.19791666666669,23.02180555555556,549.7965698242188,180.0,729.7965698242188,3680.83940629598,549.7965698242188,729.7965698242188,602.0965698242187,0.0,0.0,602.0965698242187,395.91343620912005,446.0881503611382,0.13192101385011765,0.07838824661556253,0.21030926046568016,605.91343620912
