task_id,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R000081,A,1,S010,1593.8524691732741,1.8347888312684555,2555.5,1214.0229012533039,379.82956791997026,0.2383091128358866,1,379.82956791997026,-1.6556759388739977,1
R000082,A,1,S010,1653.8524691732741,1.8902213604031441,2495.5,1244.0229012533039,409.82956791997026,0.24780297853582756,1,409.82956791997026,-1.6556759388739977,1
R000083,A,1,S010,1653.8524691732741,1.9525396814898754,2495.5,1244.0229012533039,409.82956791997026,0.24780297853582756,1,409.82956791997026,-1.6556759388739977,1
R000084,A,1,S011,1163.5352135344808,1.104775062284771,,1163.5352135344808,0,0.0,0,0.0,2.937667103696427,0
R000085,A,1,S011,1163.5352135344808,1.1359227466302664,9966.0,1163.5352135344808,0,0.0,0,0.0,2.937667103696427,0
R000086,A,1,S011,1223.5352135344808,1.194888093078244,9906.0,1223.5352135344808,0,0.0,0,0.0,2.937667103696427,0
R000087,A,1,S011,1163.5352135344808,1.086805367412299,9966.0,1163.5352135344808,0,0.0,0,0.0,2.937667103696427,0
R000088,A,1,S011,1223.5352135344808,1.1190655088410852,9906.0,1223.5352135344808,0,0.0,0,0.0,2.937667103696427,0
R000089,A,1,S011,1223.5352135344808,1.1554902930398883,9906.0,1223.5352135344808,0,0.0,0,0.0,2.937667103696427,0
R000090,A,1,S012,2050.4146828351036,2.83314290926716,,1195.9773414175518,854.4373414175518,0.4167144083440347,1,854.4373414175518,-5.4426206856221455,1
R000091,A,1,S012,2050.4146828351036,2.9114301427790448,2324.9,1195.9773414175518,854.4373414175518,0.4167144083440347,1,854.4373414175518,-5.4426206856221455,1
R000092,A,1,S012,2110.4146828351036,3.061601464969904,2264.9,1225.9773414175518,884.4373414175518,0.41908225364951035,1,884.4373414175518,-5.4426206856221455,1
R000093,A,1,S012,2050.4146828351036,2.7888783720861117,2324.9,1195.9773414175518,854.4373414175518,0.4167144083440347,1,854.4373414175518,-5.4426206856221455,1
R000094,A,1,S012,2110.4146828351036,2.8689160516355905,2264.9,1225.9773414175518,884.4373414175518,0.41908225364951035,1,884.4373414175518,-5.4426206856221455,1
R000095,A,1,S012,2110.4146828351036,2.961062090388955,2264.9,1225.9773414175518,884.4373414175518,0.41908225364951035,1,884.4373414175518,-5.4426206856221455,1
R000096,A,1,S013,1552.0233919046514,1.8710396210494764,,1183.145029285659,368.87836261899247,0.23767577508371376,1,368.87836261899247,-1.7783987710747056,1
R000097,A,1,S013,1552.0233919046514,1.9242610635843662,2576.5,1183.145029285659,368.87836261899247,0.23767577508371376,1,368.87836261899247,-1.7783987710747056,1
R000098,A,1,S013,1612.0233919046514,2.0252312019390644,2516.5,1213.1450292856591,398.87836261899224,0.24743956236745804,1,398.87836261899224,-1.7783987710747056,1
R000099,A,1,S013,1552.0233919046514,1.8404346471826698,2576.5,1183.145029285659,368.87836261899247,0.23767577508371376,1,368.87836261899247,-1.7783987710747056,1
R000100,A,1,S013,1612.0233919046514,1.895441441300517,2516.5,1213.1450292856591,398.87836261899224,0.24743956236745804,1,398.87836261899224,-1.7783987710747056,1
R000101,A,1,S013,1612.0233919046514,1.9577455011362477,2516.5,1213.1450292856591,398.87836261899224,0.24743956236745804,1,398.87836261899224,-1.7783987710747056,1
R000102,A,1,S014,1928.9611053702408,2.185397287318804,,1321.357219351787,607.6038860184537,0.31499022158968387,1,607.6038860184537,-2.7488069776422748,1
R000103,A,1,S014,1928.9611053702408,2.248452345106987,2388.0,1321.357219351787,607.6038860184537,0.31499022158968387,1,607.6038860184537,-2.7488069776422748,1
R000104,A,1,S014,1988.9611053702408,2.366013438574972,2328.0,1351.357219351787,637.6038860184537,0.32057131951796775,1,637.6038860184537,-2.7488069776422748,1
R000105,A,1,S014,1928.9611053702408,2.148191516377425,2388.0,1321.357219351787,607.6038860184537,0.31499022158968387,1,607.6038860184537,-2.7488069776422748,1
R000106,A,1,S014,1988.9611053702408,2.214459791976608,2328.0,1351.357219351787,637.6038860184537,0.32057131951796775,1,637.6038860184537,-2.7488069776422748,1
R000107,A,1,S014,1988.9611053702408,2.287650601258055,2328.0,1351.357219351787,637.6038860184537,0.32057131951796775,1,637.6038860184537,-2.7488069776422748,1
R000108,A,1,S015,1910.2098469768198,2.3644554864474845,,1307.2649234884097,602.94492348841,0.31564329146489145,1,602.94492348841,-3.666371127136273,1
R000109,A,1,S015,1910.2098469768198,2.432955544300718,9601.5,1307.2649234884097,602.94492348841,0.31564329146489145,1,602.94492348841,-3.666371127136273,1
R000110,A,1,S015,1970.2098469768198,2.5615407139168,9541.5,1337.2649234884097,632.94492348841,0.32125761855247537,1,632.94492348841,-3.666371127136273,1
R000111,A,1,S015,1910.2098469768198,2.324436471583647,6001.5,1307.2649234884097,602.94492348841,0.31564329146489145,1,602.94492348841,-3.666371127136273,1
