task_id,cargo_pattern,n_boxes,total_mass_kg,total_volume_m3,end_SOC,has_hard_deadline,uav_type,n_stops,visit_order,duration_s,energy_kWh,latest_start_s,direct_time_s,outage_time_s,outage_ratio,gap_count,max_gap_s,min_margin_db,needs_relay
R068445,S011:[食品:1|卫生:1] S007:[饮水:1],3,28.0,0.09,0.568194,True,C,2,S011>S007,2039.091336721384,3.454448142095967,9897.5,1587.7269402631343,451.36439645824976,0.221355654025773,1,451.36439645824976,-1.2114589415920705,1
R068447,S011:[食品:1|卫生:1] S007:[饮水:1|食品:1],4,36.0,0.118,0.560126,True,C,2,S011>S007,2105.0913367213843,3.5189944847208494,9831.5,1653.7269402631346,451.36439645824976,0.2144155878581668,1,451.36439645824976,-1.2114589415920705,1
R068449,S011:[食品:1|卫生:1] S007:[医疗:1],3,17.0,0.075,0.57663,True,C,2,S011>S007,2039.091336721384,3.3869618136904016,9897.5,1587.7269402631343,451.36439645824976,0.221355654025773,1,451.36439645824976,-1.2114589415920705,1
R068453,S011:[食品:1|卫生:1] S007:[医疗:1|饮水:1],4,31.0,0.102,0.565379,True,C,2,S011>S007,2105.0913367213843,3.4769717141741125,9831.5,1653.7269402631346,451.36439645824976,0.2144155878581668,1,451.36439645824976,-1.2114589415920705,1
R068512,S007:[饮水:2] S011:[食品:1],3,36.0,0.082,0.547363,True,C,2,S007>S011,2039.091336721384,3.621096472795265,2420.3,1576.8298318883178,462.26150483306606,0.2266997542034225,1,462.26150483306606,-1.2114589415920705,1
R068568,S007:[医疗:1] S011:[食品:1],2,11.0,0.04,0.580831,True,C,2,S007>S011,1973.091336721384,3.353352350395105,2486.3,1546.8298318883178,426.26150483306606,0.2160373911231954,1,426.26150483306606,-1.2114589415920705,1
R068570,S007:[医疗:1] S011:[饮水:1],2,17.0,0.039,0.572115,True,C,2,S007>S011,1973.091336721384,3.4230838008457765,2486.3,1546.8298318883178,426.26150483306606,0.2160373911231954,1,426.26150483306606,-1.2114589415920705,1
R068574,S007:[医疗:1] S011:[医疗:1],2,6.0,0.024,0.586385,True,C,2,S007>S011,1973.091336721384,3.308921507159812,2486.3,1546.8298318883178,426.26150483306606,0.2160373911231954,1,426.26150483306606,-1.2114589415920705,1
R068739,S013:[卫生:1] S007:[饮水:1],2,20.0,0.062,0.293059,True,C,2,S013>S007,2417.840375139024,5.655529002702211,2568.4,1652.9840927236908,764.8562824153335,0.3163386178342541,2,409.5334371280824,-1.7816933802026682,1
R068753,S013:[食品:1] S007:[饮水:1],2,22.0,0.055,0.288584,True,C,2,S013>S007,2417.840375139024,5.691326543606616,2568.4,1652.9840927236908,764.8562824153335,0.3163386178342541,2,409.5334371280824,-1.7816933802026682,1
