task_id,gap_id,gap_index,tau_start,tau_end,duration_s,n_outage_samples
R004176,G002103,1,758.091,1751.971,993.88,103
R004181,G002104,1,774.701,1763.719,989.018,102
R004182,G002105,1,758.091,1751.971,993.88,103
R004184,G002106,1,758.091,1751.971,993.88,103
R004185,G002107,1,774.701,1763.719,989.018,102
R004186,G002108,1,758.091,1751.971,993.88,103
R004189,G002109,1,774.701,1763.719,989.018,102
R004190,G002110,1,758.091,1751.971,993.88,103
R004192,G002111,1,788.091,1811.971,1023.88,106
R004197,G002112,1,804.701,1823.719,1019.018,105
R004198,G002113,1,788.091,1811.971,1023.88,106
R004204,G002114,1,788.091,1811.971,1023.88,106
R004208,G002115,1,788.091,1811.971,1023.88,106
R004209,G002116,1,774.701,1573.735,799.033,81
R004211,G002117,1,774.701,1573.735,799.033,81
R004212,G002118,1,1034.776,1844.566,809.79,82
R004213,G002119,1,774.701,1573.735,799.033,81
R004214,G002120,1,1034.776,1844.566,809.79,82
R004215,G002121,1,774.701,1573.735,799.033,81
R004217,G002122,1,774.701,1573.735,799.033,81
R004218,G002123,1,1034.776,1844.566,809.79,82
R004219,G002124,1,774.701,1573.735,799.033,81
R004220,G002125,1,1034.776,1844.566,809.79,82
R004221,G002126,1,804.701,1603.735,799.033,81
R004222,G002127,1,1094.776,1904.566,809.79,82
R004223,G002128,1,804.701,1603.735,799.033,81
R004224,G002129,1,1094.776,1904.566,809.79,82
R004225,G002130,1,804.701,1633.735,829.033,84
R004226,G002131,1,1064.776,1904.566,839.79,85
R004227,G002132,1,774.701,1573.735,799.033,81
R004230,G002133,1,774.701,1573.735,799.033,81
R004232,G002134,1,804.701,1603.735,799.033,81
R004236,G002135,1,774.701,1573.735,799.033,81
R004238,G002136,1,774.701,1573.735,799.033,81
R004241,G002137,1,774.701,1573.735,799.033,81
R004243,G002138,1,804.701,1603.735,799.033,81
R004245,G002139,1,804.701,1603.735,799.033,81
R004261,G002140,1,774.701,1839.977,1065.275,109
R004262,G002141,1,778.033,1851.177,1073.144,110
R004268,G002142,1,778.033,1851.177,1073.144,110
R004275,G002143,1,804.701,1899.977,1095.275,112
R004276,G002144,1,808.033,1911.177,1103.144,113
R004286,G002145,1,774.701,1839.977,1065.275,109
R004288,G002146,1,774.701,1839.977,1065.275,109
R004315,G002147,1,746.237,1069.204,322.967,34
R004315,G002148,2,1089.204,1715.287,626.083,64
R004316,G002149,1,800.18,1430.368,630.188,64
R004316,G002150,2,1444.802,1776.928,332.126,34
R004317,G002151,1,746.237,1069.204,322.967,34
R004317,G002152,2,1089.204,1715.287,626.083,64
R004323,G002153,1,746.237,1069.204,322.967,34
R004323,G002154,2,1089.204,1715.287,626.083,64
R004324,G002155,1,800.18,1430.368,630.188,64
R004324,G002156,2,1444.802,1776.928,332.126,34
R004325,G002157,1,746.237,1069.204,322.967,34
R004325,G002158,2,1089.204,1715.287,626.083,64
R004330,G002159,1,800.18,1430.368,630.188,64
R004330,G002160,2,1444.802,1776.928,332.126,34
R004334,G002161,1,800.18,1430.368,630.188,64
R004334,G002162,2,1444.802,1776.928,332.126,34
R004336,G002163,1,800.18,1430.368,630.188,64
R004336,G002164,2,1444.802,1776.928,332.126,34
R004337,G002165,1,746.237,1069.204,322.967,34
R004337,G002166,2,1089.204,1715.287,626.083,64
R004350,G002167,1,800.18,1430.368,630.188,64
R004350,G002168,2,1444.802,1776.928,332.126,34
R004351,G002169,1,746.237,1069.204,322.967,34
R004351,G002170,2,1089.204,1715.287,626.083,64
R004370,G002171,1,800.18,1430.192,630.013,64
R004370,G002172,2,1480.192,1500.192,20.0,2
R004371,G002173,1,1258.881,1278.881,20.0,2
R004371,G002174,2,1338.881,1966.402,627.522,64
R004372,G002175,1,1258.881,1278.881,20.0,2
R004372,G002176,2,1338.881,1966.402,627.522,64
R004373,G002177,1,1258.881,1278.881,20.0,2
R004373,G002178,2,1338.881,1966.402,627.522,64
R004374,G002179,1,800.18,1430.192,630.013,64
R004374,G002180,2,1480.192,1500.192,20.0,2
R004375,G002181,1,1258.881,1278.881,20.0,2
R004375,G002182,2,1338.881,1966.402,627.522,64
R004376,G002183,1,800.18,1430.192,630.013,64
R004376,G002184,2,1480.192,1500.192,20.0,2
R004377,G002185,1,1258.881,1278.881,20.0,2
R004377,G002186,2,1338.881,1966.402,627.522,64
R004378,G002187,1,1258.881,1278.881,20.0,2
R004378,G002188,2,1338.881,1966.402,627.522,64
R004379,G002189,1,800.18,1430.192,630.013,64
R004379,G002190,2,1480.192,1500.192,20.0,2
R004380,G002191,1,1258.881,1278.881,20.0,2
R004380,G002192,2,1338.881,1966.402,627.522,64
R004381,G002193,1,1318.881,1338.881,20.0,2
R004381,G002194,2,1398.881,2026.402,627.522,64
R004383,G002195,1,1258.881,1278.881,20.0,2
R004383,G002196,2,1338.881,1966.402,627.522,64
R004385,G002197,1,1258.881,1278.881,20.0,2
R004385,G002198,2,1338.881,1966.402,627.522,64
R004386,G002199,1,1258.881,1278.881,20.0,2
R004386,G002200,2,1338.881,1966.402,627.522,64
R004387,G002201,1,1318.881,1338.881,20.0,2
R004387,G002202,2,1398.881,2026.402,627.522,64
R004389,G002203,1,1258.881,1278.881,20.0,2
R004389,G002204,2,1338.881,1966.402,627.522,64
R004390,G002205,1,830.18,1460.192,630.013,64
R004390,G002206,2,1510.192,1530.192,20.0,2
R004391,G002207,1,1318.881,1338.881,20.0,2
R004391,G002208,2,1398.881,2026.402,627.522,64
R004392,G002209,1,1318.881,1338.881,20.0,2
R004392,G002210,2,1398.881,2026.402,627.522,64
R004393,G002211,1,1318.881,1338.881,20.0,2
R004393,G002212,2,1398.881,2026.402,627.522,64
R004394,G002213,1,830.18,1490.192,660.013,67
R004394,G002214,2,1540.192,1560.192,20.0,2
R004395,G002215,1,1288.881,1308.881,20.0,2
R004395,G002216,2,1368.881,2026.402,657.522,67
R004396,G002217,1,830.18,1490.192,660.013,67
R004396,G002218,2,1540.192,1560.192,20.0,2
R004397,G002219,1,1288.881,1308.881,20.0,2
R004397,G002220,2,1368.881,2026.402,657.522,67
R004421,G002221,1,800.18,1941.58,1141.401,117
R004422,G002222,1,731.736,1895.702,1163.966,120
R004424,G002223,1,731.736,1895.702,1163.966,120
R004425,G002224,1,800.18,1941.58,1141.401,117
R004426,G002225,1,731.736,1895.702,1163.966,120
R004428,G002226,1,731.736,1895.702,1163.966,120
R004435,G002227,1,800.18,1941.58,1141.401,117
R004438,G002228,1,800.18,1941.58,1141.401,117
R004439,G002229,1,731.736,1895.702,1163.966,120
R004440,G002230,1,800.18,1941.58,1141.401,117
R004442,G002231,1,800.18,1941.58,1141.401,117
R004443,G002232,1,731.736,1895.702,1163.966,120
R004458,G002233,1,800.18,1805.475,1005.295,103
R004459,G002234,1,685.176,1688.605,1003.429,103
R004460,G002235,1,800.18,1805.475,1005.295,103
R004461,G002236,1,685.176,1688.605,1003.429,103
R004462,G002237,1,800.18,1805.475,1005.295,103
R004463,G002238,1,685.176,1688.605,1003.429,103
R004466,G002239,1,800.18,1805.475,1005.295,103
R004467,G002240,1,685.176,1688.605,1003.429,103
R004468,G002241,1,800.18,1805.475,1005.295,103
R004469,G002242,1,685.176,1688.605,1003.429,103
R004474,G002243,1,800.18,1805.475,1005.295,103
R004475,G002244,1,685.176,1688.605,1003.429,103
R004478,G002245,1,685.176,1688.605,1003.429,103
R004484,G002246,1,685.176,1688.605,1003.429,103
R004485,G002247,1,800.18,1805.475,1005.295,103
R004489,G002248,1,800.18,1805.475,1005.295,103
R004490,G002249,1,685.176,1688.605,1003.429,103
R004520,G002250,1,966.681,986.681,20.0,2
R004520,G002251,2,1046.681,1697.942,651.261,67
R004522,G002252,1,966.681,986.681,20.0,2
R004522,G002253,2,1046.681,1697.942,651.261,67
R004526,G002254,1,966.681,986.681,20.0,2
R004526,G002255,2,1046.681,1697.942,651.261,67
R004528,G002256,1,966.681,986.681,20.0,2
R004528,G002257,2,1046.681,1697.942,651.261,67
R004530,G002258,1,1026.681,1046.681,20.0,2
R004530,G002259,2,1106.681,1757.942,651.261,67
R004532,G002260,1,1026.681,1046.681,20.0,2
R004532,G002261,2,1106.681,1757.942,651.261,67
R004533,G002262,1,800.18,1448.812,648.632,66
R004533,G002263,2,1508.812,1528.812,20.0,2
R004536,G002264,1,800.18,1448.812,648.632,66
R004536,G002265,2,1508.812,1528.812,20.0,2
R004537,G002266,1,966.681,986.681,20.0,2
R004537,G002267,2,1046.681,1697.942,651.261,67
R004542,G002268,1,800.18,1448.812,648.632,66
R004542,G002269,2,1508.812,1528.812,20.0,2
R004544,G002270,1,800.18,1448.812,648.632,66
R004544,G002271,2,1508.812,1528.812,20.0,2
R004548,G002272,1,966.681,986.681,20.0,2
R004548,G002273,2,1046.681,1697.942,651.261,67
R004575,G002274,1,720.494,1867.898,1147.404,117
R004578,G002275,1,720.494,1867.898,1147.404,117
R004580,G002276,1,720.494,1867.898,1147.404,117
R004583,G002277,1,720.494,1867.898,1147.404,117
R004584,G002278,1,800.18,1950.651,1150.471,117
R004586,G002279,1,720.494,1867.898,1147.404,117
R004589,G002280,1,720.494,1867.898,1147.404,117
R004605,G002281,1,800.18,1314.532,514.352,52
R004605,G002282,2,1628.849,1638.849,10.0,1
R004605,G002283,3,1668.849,2184.586,515.737,53
R004613,G002284,1,746.237,1072.269,326.032,34
R004613,G002285,2,1126.18,1136.18,10.0,1
R004614,G002286,1,1246.031,1256.031,10.0,1
R004614,G002287,2,1324.298,1656.795,332.497,34
R004615,G002288,1,746.237,1072.269,326.032,34
R004615,G002289,2,1126.18,1136.18,10.0,1
R004616,G002290,1,1246.031,1256.031,10.0,1
R004616,G002291,2,1324.298,1656.795,332.497,34
R004617,G002292,1,746.237,1072.269,326.032,34
R004617,G002293,2,1126.18,1136.18,10.0,1
R004618,G002294,1,1246.031,1256.031,10.0,1
R004618,G002295,2,1324.298,1656.795,332.497,34
R004619,G002296,1,746.237,1072.269,326.032,34
R004619,G002297,2,1126.18,1136.18,10.0,1
R004620,G002298,1,1246.031,1256.031,10.0,1
R004620,G002299,2,1324.298,1656.795,332.497,34
R004621,G002300,1,746.237,1072.269,326.032,34
R004621,G002301,2,1126.18,1136.18,10.0,1
R004622,G002302,1,1246.031,1256.031,10.0,1
R004622,G002303,2,1324.298,1656.795,332.497,34
R004623,G002304,1,746.237,1072.269,326.032,34
R004623,G002305,2,1126.18,1136.18,10.0,1
R004625,G002306,1,746.237,1072.269,326.032,34
R004625,G002307,2,1126.18,1136.18,10.0,1
R004626,G002308,1,1246.031,1256.031,10.0,1
R004626,G002309,2,1324.298,1656.795,332.497,34
R004627,G002310,1,746.237,1072.269,326.032,34
R004627,G002311,2,1126.18,1136.18,10.0,1
R004629,G002312,1,776.237,1102.269,326.032,34
R004629,G002313,2,1156.18,1166.18,10.0,1
R004630,G002314,1,1306.031,1316.031,10.0,1
R004630,G002315,2,1384.298,1716.795,332.497,34
R004631,G002316,1,776.237,1102.269,326.032,34
R004631,G002317,2,1156.18,1166.18,10.0,1
R004632,G002318,1,1306.031,1316.031,10.0,1
