task_id,class_id,box_id,pattern_id,start_time_s,delivery_offset_s,delivery_time_s,deadline_s
P002756-1,C015,B025,P002756,5654.0,1288.0940707315583,6942.0940707315585,7200.0
P002754-1,C016,B026,P002754,3066.0,1288.0940707315583,4354.0940707315585,inf
P002754-1,C016,B027,P002754,3066.0,1288.0940707315583,4354.0940707315585,inf
P002756-1,C016,B028,P002756,5654.0,1288.0940707315583,6942.0940707315585,inf
P025360-1,C013,B029,P025360,1561.0,2034.86799865566,3595.86799865566,inf
P025360-1,C013,B030,P025360,1561.0,2034.86799865566,3595.86799865566,inf
P025360-1,C014,B031,P025360,1561.0,2034.86799865566,3595.86799865566,inf
P008547-1,C017,B032,P008547,3872.0,1585.5620324839206,5457.56203248392,7200.0
P008547-1,C020,B033,P008547,3872.0,1585.5620324839206,5457.56203248392,7200.0
P008547-1,C021,B034,P008547,3872.0,1585.5620324839206,5457.56203248392,inf
P008547-1,C021,B035,P008547,3872.0,1585.5620324839206,5457.56203248392,inf
P008547-1,C018,B036,P008547,3872.0,1585.5620324839206,5457.56203248392,inf
P008547-1,C019,B037,P008547,3872.0,1585.5620324839206,5457.56203248392,inf
P008594-1,C022,B038,P008594,6178.0,1374.6573203179064,7552.657320317907,10800.0
P008594-1,C025,B039,P008594,6178.0,1374.6573203179064,7552.657320317907,10800.0
P008594-1,C026,B040,P008594,6178.0,1374.6573203179064,7552.657320317907,inf
P008594-1,C026,B041,P008594,6178.0,1374.6573203179064,7552.657320317907,inf
P008594-1,C023,B042,P008594,6178.0,1374.6573203179064,7552.657320317907,inf
P008594-1,C024,B043,P008594,6178.0,1374.6573203179064,7552.657320317907,inf
P008641-1,C027,B044,P008641,0.0,1209.0766497153631,1209.0766497153631,3600.0
P008641-1,C030,B045,P008641,0.0,1209.0766497153631,1209.0766497153631,3600.0
P008641-1,C031,B046,P008641,0.0,1209.0766497153631,1209.0766497153631,inf
P008641-1,C031,B047,P008641,0.0,1209.0766497153631,1209.0766497153631,inf
P008641-1,C028,B048,P008641,0.0,1209.0766497153631,1209.0766497153631,inf
P008641-1,C029,B049,P008641,0.0,1209.0766497153631,1209.0766497153631,inf
P025360-1,C032,B050,P025360,1561.0,1467.7006332510348,3028.7006332510346,3600.0
P025360-1,C035,B051,P025360,1561.0,1467.7006332510348,3028.7006332510346,3600.0
P025360-1,C036,B052,P025360,1561.0,1467.7006332510348,3028.7006332510346,inf
P025360-1,C033,B053,P025360,1561.0,1467.7006332510348,3028.7006332510346,inf
P025360-1,C034,B054,P025360,1561.0,1467.7006332510348,3028.7006332510346,inf
P051203-1,C037,B055,P051203,4717.0,1992.3883159599443,6709.3883159599445,7200.0
P051203-1,C040,B056,P051203,4717.0,1992.3883159599443,6709.3883159599445,7200.0
P051203-1,C041,B057,P051203,4717.0,1992.3883159599443,6709.3883159599445,inf
P051203-1,C038,B058,P051203,4717.0,1992.3883159599443,6709.3883159599445,inf
P051203-1,C039,B059,P051203,4717.0,1992.3883159599443,6709.3883159599445,inf
P002867-1,C042,B060,P002867,9708.0,1091.9793683074286,10799.979368307428,10800.0
P002867-1,C044,B061,P002867,9708.0,1091.9793683074286,10799.979368307428,10800.0
P002867-1,C043,B062,P002867,9708.0,1091.9793683074286,10799.979368307428,inf
P002874-1,C045,B063,P002874,0.0,1084.8223462305075,1084.8223462305075,3600.0
P002874-1,C047,B064,P002874,0.0,1084.8223462305075,1084.8223462305075,3600.0
P002874-1,C046,B065,P002874,0.0,1084.8223462305075,1084.8223462305075,inf
P051203-1,C048,B066,P051203,4717.0,1124.5054354300685,5841.505435430068,10800.0
P051203-1,C050,B067,P051203,4717.0,1124.5054354300685,5841.505435430068,10800.0
P051203-1,C049,B068,P051203,4717.0,1124.5054354300685,5841.505435430068,inf
P002888-1,C051,B069,P002888,1869.0,1271.8300190487548,3140.830019048755,3600.0
P002888-1,C053,B070,P002888,1869.0,1271.8300190487548,3140.830019048755,3600.0
P002888-1,C052,B071,P002888,1869.0,1271.8300190487548,3140.830019048755,inf
P002895-1,C054,B072,P002895,1555.0,1062.7333575756627,2617.733357575663,3600.0
P002895-1,C056,B073,P002895,1555.0,1062.7333575756627,2617.733357575663,3600.0
P002895-1,C055,B074,P002895,1555.0,1062.7333575756627,2617.733357575663,inf
P002902-1,C057,B075,P002902,0.0,1241.8553923434088,1241.8553923434088,3600.0
