gap_id,task_id,candidate_id,tau_start_s,tau_end_s,service_duration_s,dispatch_offset_s,arrival_offset_s,service_start_offset_s,service_end_offset_s,return_offset_s,min_transport_start_s,outbound_time_s,return_time_s,lead_time_s,outbound_energy_kWh,return_energy_kWh,service_energy_kWh,relay_energy_kWh,end_soc,charge_time_s,relay_uav_occupancy_s,energy_component_occupancy_s,lon,lat,agl_height_m,min_access_margin_db,relay_g01_margin_db
G000001,R000014,RP012766,720.418,1555.624,835.206,-68.71633372156373,690.418,720.418,1555.624,2188.3362105119286,68.71633372156373,579.1343337215637,632.7122105119283,789.1343337215637,0.1908194742532352,0.13365578023695568,0.2643685,0.5888437544901909,0.8159863267218154,739.2177752616401,2557.052544233492,2996.270319495132,109.20013888888889,23.057361111111117,120.0,0.1370172461129897,9.949916145283126
G000002,R000015,RP012766,720.418,1555.624,835.206,-68.71633372156373,690.418,720.418,1555.624,2188.3362105119286,68.71633372156373,579.1343337215637,632.7122105119283,789.1343337215637,0.1908194742532352,0.13365578023695568,0.2643685,0.5888437544901909,0.8159863267218154,739.2177752616401,2557.052544233492,2996.270319495132,109.20013888888889,23.057361111111117,120.0,0.1370172461129897,9.949916145283126
G000004,R000017,RP012766,720.418,1555.624,835.206,-68.71633372156373,690.418,720.418,1555.624,2188.3362105119286,68.71633372156373,579.1343337215637,632.7122105119283,789.1343337215637,0.1908194742532352,0.13365578023695568,0.2643685,0.5888437544901909,0.8159863267218154,739.2177752616401,2557.052544233492,2996.270319495132,109.20013888888889,23.057361111111117,120.0,0.1370172461129897,9.949916145283126
G000006,R000019,RP012766,720.418,1555.624,835.206,-68.71633372156373,690.418,720.418,1555.624,2188.3362105119286,68.71633372156373,579.1343337215637,632.7122105119283,789.1343337215637,0.1908194742532352,0.13365578023695568,0.2643685,0.5888437544901909,0.8159863267218154,739.2177752616401,2557.052544233492,2996.270319495132,109.20013888888889,23.057361111111117,120.0,0.1370172461129897,9.949916145283126
G000001,R000014,RP046373,720.418,1555.624,835.206,235.93352170030215,690.418,720.418,1555.624,1864.1684908627676,0.0,274.48447829969786,308.5444908627675,484.48447829969786,0.09138125011047207,0.05504169630612838,0.2643685,0.4107914464166004,0.8716276729948124,666.8840251067439,1928.2349691624654,2295.1189942692095,109.21791666666668,23.028472222222224,300.0,0.0298750507837155,7.601041333198125
G000002,R000015,RP046373,720.418,1555.624,835.206,235.93352170030215,690.418,720.418,1555.624,1864.1684908627676,0.0,274.48447829969786,308.5444908627675,484.48447829969786,0.09138125011047207,0.05504169630612838,0.2643685,0.4107914464166004,0.8716276729948124,666.8840251067439,1928.2349691624654,2295.1189942692095,109.21791666666668,23.028472222222224,300.0,0.0298750507837155,7.601041333198125
G000004,R000017,RP046373,720.418,1555.624,835.206,235.93352170030215,690.418,720.418,1555.624,1864.1684908627676,0.0,274.48447829969786,308.5444908627675,484.48447829969786,0.09138125011047207,0.05504169630612838,0.2643685,0.4107914464166004,0.8716276729948124,666.8840251067439,1928.2349691624654,2295.1189942692095,109.21791666666668,23.028472222222224,300.0,0.0298750507837155,7.601041333198125
G000006,R000019,RP046373,720.418,1555.624,835.206,235.93352170030215,690.418,720.418,1555.624,1864.1684908627676,0.0,274.48447829969786,308.5444908627675,484.48447829969786,0.09138125011047207,0.05504169630612838,0.2643685,0.4107914464166004,0.8716276729948124,666.8840251067439,1928.2349691624654,2295.1189942692095,109.21791666666668,23.028472222222224,300.0,0.0298750507837155,7.601041333198125
G000001,R000014,RP015140,720.418,1555.624,835.206,87.78268465912117,690.418,720.418,1555.624,1994.6382429531836,0.0,422.6353153408789,439.01424295318355,632.6353153408788,0.1333416306980838,0.11586650733685054,0.2643685,0.5135766380349344,0.839507300614083,708.6405092016921,2206.8555582940626,2615.4960674957547,109.24125,23.05513888888889,20.0,0.2894766661735701,1.4668894403770167
G000002,R000015,RP015140,720.418,1555.624,835.206,87.78268465912117,690.418,720.418,1555.624,1994.6382429531836,0.0,422.6353153408789,439.01424295318355,632.6353153408788,0.1333416306980838,0.11586650733685054,0.2643685,0.5135766380349344,0.839507300614083,708.6405092016921,2206.8555582940626,2615.4960674957547,109.24125,23.05513888888889,20.0,0.2894766661735701,1.4668894403770167
G000004,R000017,RP015140,720.418,1555.624,835.206,87.78268465912117,690.418,720.418,1555.624,1994.6382429531836,0.0,422.6353153408789,439.01424295318355,632.6353153408788,0.1333416306980838,0.11586650733685054,0.2643685,0.5135766380349344,0.839507300614083,708.6405092016921,2206.8555582940626,2615.4960674957547,109.24125,23.05513888888889,20.0,0.2894766661735701,1.4668894403770167
G000006,R000019,RP015140,720.418,1555.624,835.206,87.78268465912117,690.418,720.418,1555.624,1994.6382429531836,0.0,422.6353153408789,439.01424295318355,632.6353153408788,0.1333416306980838,0.11586650733685054,0.2643685,0.5135766380349344,0.839507300614083,708.6405092016921,2206.8555582940626,2615.4960674957547,109.24125,23.05513888888889,20.0,0.2894766661735701,1.4668894403770167
G000001,R000014,RP017092,720.418,1555.624,835.206,107.35756648402469,690.418,720.418,1555.624,1975.9311132034754,0.0,403.0604335159754,420.3071132034754,613.0604335159753,0.1275183734347919,0.10911742178247978,0.2643685,0.5010042952172716,0.8434361577446026,703.5329949320167,2168.573546719451,2572.1065416514675,109.23791666666666,23.05291666666667,40.0,0.1679962515828776,1.9768066129065005
G000002,R000015,RP017092,720.418,1555.624,835.206,107.35756648402469,690.418,720.418,1555.624,1975.9311132034754,0.0,403.0604335159754,420.3071132034754,613.0604335159753,0.1275183734347919,0.10911742178247978,0.2643685,0.5010042952172716,0.8434361577446026,703.5329949320167,2168.573546719451,2572.1065416514675,109.23791666666666,23.05291666666667,40.0,0.1679962515828776,1.9768066129065005
G000004,R000017,RP017092,720.418,1555.624,835.206,107.35756648402469,690.418,720.418,1555.624,1975.9311132034754,0.0,403.0604335159754,420.3071132034754,613.0604335159753,0.1275183734347919,0.10911742178247978,0.2643685,0.5010042952172716,0.8434361577446026,703.5329949320167,2168.573546719451,2572.1065416514675,109.23791666666666,23.05291666666667,40.0,0.1679962515828776,1.9768066129065005
G000006,R000019,RP017092,720.418,1555.624,835.206,107.35756648402469,690.418,720.418,1555.624,1975.9311132034754,0.0,403.0604335159754,420.3071132034754,613.0604335159753,0.1275183734347919,0.10911742178247978,0.2643685,0.5010042952172716,0.8434361577446026,703.5329949320167,2168.573546719451,2572.1065416514675,109.23791666666666,23.05291666666667,40.0,0.1679962515828776,1.9768066129065005
G000001,R000014,RP020355,720.418,1555.624,835.206,139.2483107182593,690.418,720.418,1555.624,1948.1241473505884,0.0,371.1696892817407,392.5001473505884,581.1696892817407,0.12088445208693968,0.09812640620457706,0.2643685,0.48337935829151674,0.848943950533901,696.3728643059287,2108.875836632329,2505.2487009382576,109.23680555555556,23.04958333333333,60.0,0.1700500522875359,2.6647870508587914
G000002,R000015,RP020355,720.418,1555.624,835.206,139.2483107182593,690.418,720.418,1555.624,1948.1241473505884,0.0,371.1696892817407,392.5001473505884,581.1696892817407,0.12088445208693968,0.09812640620457706,0.2643685,0.48337935829151674,0.848943950533901,696.3728643059287,2108.875836632329,2505.2487009382576,109.23680555555556,23.04958333333333,60.0,0.1700500522875359,2.6647870508587914
G000004,R000017,RP020355,720.418,1555.624,835.206,139.2483107182593,690.418,720.418,1555.624,1948.1241473505884,0.0,371.1696892817407,392.5001473505884,581.1696892817407,0.12088445208693968,0.09812640620457706,0.2643685,0.48337935829151674,0.848943950533901,696.3728643059287,2108.875836632329,2505.2487009382576,109.23680555555556,23.04958333333333,60.0,0.1700500522875359,2.6647870508587914
G000006,R000019,RP020355,720.418,1555.624,835.206,139.2483107182593,690.418,720.418,1555.624,1948.1241473505884,0.0,371.1696892817407,392.5001473505884,581.1696892817407,0.12088445208693968,0.09812640620457706,0.2643685,0.48337935829151674,0.848943950533901,696.3728643059287,2108.875836632329,2505.2487009382576,109.23680555555556,23.04958333333333,60.0,0.1700500522875359,2.6647870508587914
G000001,R000014,RP020326,720.418,1555.624,835.206,148.43729525251854,690.418,720.418,1555.624,1936.4173100331261,0.0,361.9807047474815,380.7933100331261,571.9807047474815,0.11767565866029053,0.09760397839559169,0.2643685,0.4796481370558822,0.8501099571700368,694.8570556789522,2087.9800147806077,2482.83707045956,109.23458333333332,23.04958333333333,80.0,0.0730624371010435,2.7137716416375213
G000002,R000015,RP020326,720.418,1555.624,835.206,148.43729525251854,690.418,720.418,1555.624,1936.4173100331261,0.0,361.9807047474815,380.7933100331261,571.9807047474815,0.11767565866029053,0.09760397839559169,0.2643685,0.4796481370558822,0.8501099571700368,694.8570556789522,2087.9800147806077,2482.83707045956,109.23458333333332,23.04958333333333,80.0,0.0730624371010435,2.7137716416375213
G000004,R000017,RP020326,720.418,1555.624,835.206,148.43729525251854,690.418,720.418,1555.624,1936.4173100331261,0.0,361.9807047474815,380.7933100331261,571.9807047474815,0.11767565866029053,0.09760397839559169,0.2643685,0.4796481370558822,0.8501099571700368,694.8570556789522,2087.9800147806077,2482.83707045956,109.23458333333332,23.04958333333333,80.0,0.0730624371010435,2.7137716416375213
G000006,R000019,RP020326,720.418,1555.624,835.206,148.43729525251854,690.418,720.418,1555.624,1936.4173100331261,0.0,361.9807047474815,380.7933100331261,571.9807047474815,0.11767565866029053,0.09760397839559169,0.2643685,0.4796481370558822,0.8501099571700368,694.8570556789522,2087.9800147806077,2482.83707045956,109.23458333333332,23.04958333333333,80.0,0.0730624371010435,2.7137716416375213
G000001,R000014,RP008329,720.418,1555.624,835.206,-160.88211374062712,690.418,720.418,1555.624,2265.523373180731,160.88211374062712,671.3001137406271,709.8993731807312,881.3001137406271,0.21863473468669767,0.1774521349259338,0.2643685,0.6604553696126315,0.7936076969960526,768.3099939051317,2726.4054869213583,3194.71548082649,109.28125,23.06736111111111,100.0,2.575076744325472,7.518688047741577
G000002,R000015,RP008329,720.418,1555.624,835.206,-160.88211374062712,690.418,720.418,1555.624,2265.523373180731,160.88211374062712,671.3001137406271,709.8993731807312,881.3001137406271,0.21863473468669767,0.1774521349259338,0.2643685,0.6604553696126315,0.7936076969960526,768.3099939051317,2726.4054869213583,3194.71548082649,109.28125,23.06736111111111,100.0,2.575076744325472,7.518688047741577
G000004,R000017,RP008329,720.418,1555.624,835.206,-160.88211374062712,690.418,720.418,1555.624,2265.523373180731,160.88211374062712,671.3001137406271,709.8993731807312,881.3001137406271,0.21863473468669767,0.1774521349259338,0.2643685,0.6604553696126315,0.7936076969960526,768.3099939051317,2726.4054869213583,3194.71548082649,109.28125,23.06736111111111,100.0,2.575076744325472,7.518688047741577
G000006,R000019,RP008329,720.418,1555.624,835.206,-160.88211374062712,690.418,720.418,1555.624,2265.523373180731,160.88211374062712,671.3001137406271,709.8993731807312,881.3001137406271,0.21863473468669767,0.1774521349259338,0.2643685,0.6604553696126315,0.7936076969960526,768.3099939051317,2726.4054869213583,3194.71548082649,109.28125,23.06736111111111,100.0,2.575076744325472,7.518688047741577
G000001,R000014,RP044842,720.418,1555.624,835.206,228.41332635881787,690.418,720.418,1555.624,1871.82086419294,0.0,282.00467364118214,316.1968641929399,492.00467364118214,0.09379788845220369,0.05731731035660971,0.2643685,0.4154836988088134,0.8701613441222458,668.7902526410805,1943.4075378341222,2312.197790475203,109.21791666666668,23.02958333333333,280.0,0.1578564090878984,7.255914764072969
G000002,R000015,RP044842,720.418,1555.624,835.206,228.41332635881787,690.418,720.418,1555.624,1871.82086419294,0.0,282.00467364118214,316.1968641929399,492.00467364118214,0.09379788845220369,0.05731731035660971,0.2643685,0.4154836988088134,0.8701613441222458,668.7902526410805,1943.4075378341222,2312.197790475203,109.21791666666668,23.02958333333333,280.0,0.1578564090878984,7.255914764072969
G000004,R000017,RP044842,720.418,1555.624,835.206,228.41332635881787,690.418,720.418,1555.624,1871.82086419294,0.0,282.00467364118214,316.1968641929399,492.00467364118214,0.09379788845220369,0.05731731035660971,0.2643685,0.4154836988088134,0.8701613441222458,668.7902526410805,1943.4075378341222,2312.197790475203,109.21791666666668,23.02958333333333,280.0,0.1578564090878984,7.255914764072969
G000006,R000019,RP044842,720.418,1555.624,835.206,228.41332635881787,690.418,720.418,1555.624,1871.82086419294,0.0,282.00467364118214,316.1968641929399,492.00467364118214,0.09379788845220369,0.05731731035660971,0.2643685,0.4154836988088134,0.8701613441222458,668.7902526410805,1943.4075378341222,2312.197790475203,109.21791666666668,23.02958333333333,280.0,0.1578564090878984,7.255914764072969
