pattern_id,uav_type,n_stops,visit_order,n_boxes,total_mass_kg,total_volume_m3,energy_kWh,duration_s,end_SOC,has_hard_deadline,latest_start_s
P017587,C,2,S005>S008,7,62.0,0.168,6.297005081941967,2644.5399213047053,0.21287436475725408,True,5259.499276653962
P017588,C,2,S005>S008,7,54.0,0.17600000000000002,5.987831790471018,2644.5399213047053,0.2515210261911227,True,5259.499276653962
P017589,C,2,S005>S008,4,37.0,0.10099999999999999,5.597435608612198,2446.5399213047053,0.30032054892347526,True,9593.342679682093
P017590,C,2,S008>S005,4,37.0,0.10099999999999999,5.825728259583982,2446.5399213047053,0.2717839675520023,True,8858.8473990132
P017591,C,2,S005>S008,4,37.0,0.10099999999999999,5.597435608612198,2446.5399213047053,0.30032054892347526,True,5457.499276653962
P017592,C,2,S008>S005,4,37.0,0.10099999999999999,5.825728259583982,2446.5399213047053,0.2717839675520023,True,5874.280802041333
P017593,C,2,S005>S008,5,51.0,0.128,5.979571590403678,2512.5399213047053,0.25255355119954026,True,5391.499276653962
P017594,C,2,S008>S005,5,51.0,0.128,6.272045623282135,2512.5399213047053,0.21599429708973317,True,5808.280802041333
P017595,C,2,S005>S008,4,29.0,0.109,5.442840690181171,2446.5399213047053,0.3196449137273536,True,9593.342679682093
P017596,C,2,S008>S005,4,29.0,0.109,5.641828051137487,2446.5399213047053,0.2947714936078141,True,8858.8473990132
P017597,C,2,S005>S008,5,43.0,0.136,5.74180144435268,2512.5399213047053,0.28227481945591504,True,5391.499276653962
P017598,C,2,S008>S005,5,43.0,0.136,5.994589082230885,2512.5399213047053,0.2506763647211394,True,5808.280802041333
P017599,C,2,S005>S008,6,57.0,0.16299999999999998,6.200140523698813,2578.5399213047053,0.22498243453764832,True,5325.499276653962
P017600,C,2,S005>S008,4,31.0,0.102,5.4776722050637865,2446.5399213047053,0.3152909743670267,True,9593.342679682093
P017601,C,2,S008>S005,4,31.0,0.102,5.683864134798753,2446.5399213047053,0.28951698315015584,True,8858.8473990132
P017602,C,2,S005>S008,6,59.0,0.156,6.283472748023887,2578.5399213047053,0.21456590649701412,True,5325.499276653962
P017603,C,2,S005>S008,6,51.0,0.16399999999999998,5.979571590403678,2578.5399213047053,0.25255355119954026,True,9533.342679682093
P017604,C,2,S008>S005,6,51.0,0.16399999999999998,6.272045623282135,2578.5399213047053,0.21599429708973317,True,8726.8473990132
P017605,C,2,S005>S008,6,51.0,0.16399999999999998,5.979571590403678,2578.5399213047053,0.25255355119954026,True,5325.499276653962
P017606,C,2,S008>S005,6,51.0,0.16399999999999998,6.272045623282135,2578.5399213047053,0.21599429708973317,True,5742.280802041333
P017607,C,2,S005>S008,4,26.0,0.086,5.395365567015078,2446.5399213047053,0.3255793041231152,True,5457.499276653962
P017608,C,2,S008>S005,4,26.0,0.086,5.583274829141209,2446.5399213047053,0.30209064635734884,True,5874.280802041333
P017609,C,2,S005>S008,5,40.0,0.11299999999999999,5.666345329126097,2512.5399213047053,0.2917068338592379,True,5391.499276653962
P017610,C,2,S008>S005,5,40.0,0.11299999999999999,5.906468366617884,2512.5399213047053,0.2616914541727645,True,5808.280802041333
P017611,C,2,S005>S008,6,54.0,0.14,6.084701690801898,2578.5399213047053,0.23941228864976272,True,5325.499276653962
P017612,C,2,S008>S005,6,54.0,0.14,6.39507257781325,2578.5399213047053,0.2006159277733438,True,5742.280802041333
P017613,C,2,S005>S008,6,46.0,0.148,5.824349054455887,2578.5399213047053,0.27195636819301416,True,5325.499276653962
P017614,C,2,S008>S005,6,46.0,0.148,6.090868671346258,2578.5399213047053,0.23864141608171774,True,5742.280802041333
P017615,C,2,S005>S008,6,46.0,0.148,5.824349054455887,2578.5399213047053,0.27195636819301416,True,5325.499276653962
P017616,C,2,S008>S005,6,46.0,0.148,6.090868671346258,2578.5399213047053,0.23864141608171774,True,5742.280802041333
P017617,C,2,S005>S008,7,60.0,0.175,6.327217935500297,2644.5399213047053,0.2090977580624629,True,5259.499276653962
P017618,C,2,S005>S008,6,48.0,0.14100000000000001,5.883646035217053,2578.5399213047053,0.2645442455978684,True,5325.499276653962
P017619,C,2,S008>S005,6,48.0,0.14100000000000001,6.1600361760247795,2578.5399213047053,0.22999547799690256,True,5742.280802041333
P017620,C,2,S005>S008,6,48.0,0.14100000000000001,5.883646035217053,2578.5399213047053,0.2645442455978684,True,5325.499276653962
P017621,C,2,S008>S005,6,48.0,0.14100000000000001,6.1600361760247795,2578.5399213047053,0.22999547799690256,True,5742.280802041333
P017622,C,2,S005>S008,6,40.0,0.14900000000000002,5.666345329126097,2578.5399213047053,0.2917068338592379,True,5325.499276653962
P017623,C,2,S008>S005,6,40.0,0.14900000000000002,5.906468366617884,2578.5399213047053,0.2616914541727645,True,5742.280802041333
P017624,C,2,S005>S008,7,54.0,0.176,6.084701690801898,2644.5399213047053,0.23941228864976272,True,5259.499276653962
P017625,C,2,S008>S005,7,54.0,0.176,6.39507257781325,2644.5399213047053,0.2006159277733438,True,5676.280802041333
P017626,C,2,S005>S008,7,54.0,0.176,6.084701690801898,2644.5399213047053,0.23941228864976272,True,5259.499276653962
P017627,C,2,S008>S005,7,54.0,0.176,6.39507257781325,2644.5399213047053,0.2006159277733438,True,5676.280802041333
P017628,C,2,S005>S008,5,51.0,0.128,5.891274686261493,2512.5399213047053,0.26359066421731336,True,9527.342679682093
P017629,C,2,S008>S005,5,51.0,0.128,6.383448920542057,2512.5399213047053,0.20206888493224284,True,8792.8473990132
P017630,C,2,S005>S008,5,51.0,0.128,5.891274686261493,2512.5399213047053,0.26359066421731336,True,5391.499276653962
P017631,C,2,S008>S005,5,51.0,0.128,6.383448920542057,2512.5399213047053,0.20206888493224284,True,5844.280802041333
P017632,C,2,S005>S008,5,43.0,0.136,5.675512100393215,2512.5399213047053,0.29056098745084813,True,9527.342679682093
P017633,C,2,S008>S005,5,43.0,0.136,6.105992379490806,2512.5399213047053,0.2367509525636492,True,8792.8473990132
P017634,C,2,S005>S008,6,57.0,0.16299999999999998,6.094273865161627,2578.5399213047053,0.23821576685479662,True,5325.499276653962
P017635,C,2,S005>S008,5,45.0,0.129,5.7241978328092,2512.5399213047053,0.28447527089885005,True,9527.342679682093
P017636,C,2,S008>S005,5,45.0,0.129,6.169218576129003,2512.5399213047053,0.22884767798387462,True,8792.8473990132
P017637,C,2,S005>S008,5,40.0,0.11299999999999999,5.6087055801303425,2512.5399213047053,0.2989118024837072,True,5391.499276653962
P017638,C,2,S008>S005,5,40.0,0.11299999999999999,6.0178716638778065,2512.5399213047053,0.2477660420152742,True,5844.280802041333
P017639,C,2,S005>S008,6,54.0,0.13999999999999999,5.987831790471018,2578.5399213047053,0.2515210261911227,True,5325.499276653962
P017640,C,2,S005>S008,7,60.0,0.175,6.211792992407043,2644.5399213047053,0.22352587594911966,True,5259.499276653962
P017641,C,2,S005>S008,7,60.0,0.175,6.211792992407043,2644.5399213047053,0.22352587594911966,True,5259.499276653962
P017642,C,2,S005>S008,7,62.0,0.16799999999999998,6.297005081941967,2644.5399213047053,0.21287436475725408,True,5259.499276653962
P017643,C,2,S005>S008,7,62.0,0.16799999999999998,6.297005081941967,2644.5399213047053,0.21287436475725408,True,5259.499276653962
P017644,C,2,S005>S008,7,54.0,0.176,5.987831790471018,2644.5399213047053,0.2515210261911227,True,5259.499276653962
P017645,C,2,S005>S008,6,65.0,0.155,6.348116861067922,2578.5399213047053,0.20648539236650976,True,9461.342679682093
P017646,C,2,S005>S008,6,65.0,0.155,6.348116861067922,2578.5399213047053,0.20648539236650976,True,5325.499276653962
P017647,C,2,S005>S008,6,57.0,0.163,6.027984521202162,2578.5399213047053,0.2465019348497297,True,9461.342679682093
P017648,C,2,S005>S008,6,59.0,0.156,6.099496060818202,2578.5399213047053,0.23756299239772471,True,9461.342679682093
P017649,C,2,S005>S008,6,54.0,0.14,5.930192041475264,2578.5399213047053,0.258725994815592,True,5325.499276653962
P017650,C,2,S005>S008,4,39.0,0.094,5.632405006059708,2446.5399213047053,0.29594937424253653,True,9593.342679682093
P017651,C,2,S008>S005,4,39.0,0.094,5.891979438756936,2446.5399213047053,0.26350257015538303,True,8858.8473990132
P017652,C,2,S005>S008,4,39.0,0.094,5.632405006059708,2446.5399213047053,0.29594937424253653,True,5457.499276653962
P017653,C,2,S008>S005,4,39.0,0.094,5.891979438756936,2446.5399213047053,0.26350257015538303,True,5874.280802041333
P017654,C,2,S005>S008,5,53.0,0.121,6.032629946904368,2512.5399213047053,0.24592125663695397,True,5391.499276653962
P017655,C,2,S008>S005,5,53.0,0.121,6.365963979258736,2512.5399213047053,0.20425450259265798,True,5808.280802041333
P017656,C,2,S005>S008,4,31.0,0.10200000000000001,5.47061472627038,2446.5399213047053,0.3161731592162025,True,9593.342679682093
P017657,C,2,S008>S005,4,31.0,0.10200000000000001,5.6970738797935345,2446.5399213047053,0.2878657650258082,True,8858.8473990132
P017658,C,2,S005>S008,5,45.0,0.129,5.78342969797526,2512.5399213047053,0.27707128775309253,True,5391.499276653962
P017659,C,2,S008>S005,5,45.0,0.129,6.071025023863862,2512.5399213047053,0.2411218720170173,True,5808.280802041333
P017660,C,2,S005>S008,6,59.0,0.156,6.264594584521449,2578.5399213047053,0.2169256769348189,True,5325.499276653962
P017661,C,2,S005>S008,4,33.0,0.095,5.507103349903748,2446.5399213047053,0.31161208126203155,True,9593.342679682093
P017662,C,2,S008>S005,4,33.0,0.095,5.741644521726237,2446.5399213047053,0.28229443478422034,True,8858.8473990132
P017663,C,2,S005>S008,6,61.0,0.14900000000000002,6.352464398678999,2578.5399213047053,0.20594195016512518,True,5325.499276653962
P017664,C,2,S005>S008,6,53.0,0.157,6.032629946904368,2578.5399213047053,0.24592125663695397,True,9533.342679682093
