flight_id,uav_id,time,x,y,z,phase,node
18,U08,9483.8,109.2308517,23.0085095,127.7,setup,O01
18,U08,9493.8,109.2308517,23.0085095,127.7,setup,O01
18,U08,9503.8,109.2308517,23.0085095,127.7,climb,O01
18,U08,9513.8,109.2308517,23.0085095,152.70000000000002,climb,O01
18,U08,9523.8,109.2308517,23.0085095,177.70000000000002,climb,O01
18,U08,9533.8,109.2308517,23.0085095,202.7,climb,O01
18,U08,9543.8,109.2308517,23.0085095,227.70000000000002,climb,O01
18,U08,9553.8,109.2308517,23.0085095,252.7,climb,O01
18,U08,9563.8,109.2308517,23.0085095,277.7,climb,O01
18,U08,9570.50692626953,109.2308517,23.0085095,294.4673156738281,cruise,
18,U08,9580.50692626953,109.23099345114457,23.00985216106267,294.4673156738281,cruise,
18,U08,9590.50692626953,109.23113520228915,23.01119482212534,294.4673156738281,cruise,
18,U08,9600.50692626953,109.23127695343372,23.012537483188012,294.4673156738281,cruise,
18,U08,9610.50692626953,109.23141870457829,23.01388014425068,294.4673156738281,cruise,
18,U08,9620.50692626953,109.23156045572287,23.015222805313353,294.4673156738281,cruise,
18,U08,9630.50692626953,109.23170220686744,23.016565466376022,294.4673156738281,cruise,
18,U08,9640.50692626953,109.231843958012,23.017908127438695,294.4673156738281,cruise,
18,U08,9650.50692626953,109.23198570915659,23.019250788501363,294.4673156738281,cruise,
18,U08,9660.50692626953,109.23212746030116,23.020593449564036,294.4673156738281,cruise,
18,U08,9670.50692626953,109.23226921144574,23.021936110626704,294.4673156738281,cruise,
18,U08,9680.50692626953,109.23241096259031,23.023278771689377,294.4673156738281,cruise,
18,U08,9690.50692626953,109.23255271373488,23.024621432752046,294.4673156738281,cruise,
18,U08,9700.50692626953,109.23269446487946,23.025964093814718,294.4673156738281,cruise,
18,U08,9710.50692626953,109.23283621602403,23.027306754877387,294.4673156738281,cruise,
18,U08,9720.50692626953,109.2329779671686,23.02864941594006,294.4673156738281,cruise,
18,U08,9730.50692626953,109.23311971831318,23.029992077002728,294.4673156738281,cruise,
18,U08,9740.50692626953,109.23326146945774,23.0313347380654,294.4673156738281,cruise,
18,U08,9750.50692626953,109.23340322060231,23.032677399128072,294.4673156738281,cruise,
18,U08,9760.50692626953,109.2335449717469,23.03402006019074,294.4673156738281,cruise,
18,U08,9770.50692626953,109.23368672289146,23.035362721253414,294.4673156738281,cruise,
18,U08,9780.50692626953,109.23382847403603,23.036705382316082,294.4673156738281,cruise,
18,U08,9790.50692626953,109.23397022518061,23.038048043378755,294.4673156738281,cruise,
18,U08,9800.50692626953,109.23411197632518,23.039390704441423,294.4673156738281,cruise,
18,U08,9810.50692626953,109.23425372746975,23.040733365504096,294.4673156738281,cruise,
18,U08,9820.50692626953,109.23439547861433,23.042076026566765,294.4673156738281,cruise,
18,U08,9830.50692626953,109.2345372297589,23.043418687629437,294.4673156738281,cruise,
18,U08,9840.50692626953,109.23467898090348,23.044761348692106,294.4673156738281,cruise,
18,U08,9850.50692626953,109.23482073204805,23.046104009754778,294.4673156738281,cruise,
18,U08,9860.50692626953,109.23496248319262,23.047446670817447,294.4673156738281,cruise,
18,U08,9870.50692626953,109.2351042343372,23.04878933188012,294.4673156738281,cruise,
18,U08,9880.50692626953,109.23524598548177,23.050131992942788,294.4673156738281,cruise,
