from,to,distance,h_max,cruise_height,climb_height,descent_height
S009,S012,2967.8672195087966,253.31507873535156,303.31507873535156,73.31507873535156,23.51507873535155
S009,S013,3218.668940693961,367.3228454589844,417.3228454589844,187.32284545898438,65.62284545898439
S009,S014,6332.937688393668,394.39739990234375,444.39739990234375,214.39739990234375,93.39739990234375
S009,S015,6352.730835619762,436.229248046875,486.229248046875,256.229248046875,11.729248046875
S010,O01,4778.43330136777,408.7491455078125,458.7491455078125,107.14914550781248,331.0491455078125
S010,S001,3707.6479701128087,454.07037353515625,504.07037353515625,152.47037353515623,320.07037353515625
S010,S002,5938.017877533433,381.0796813964844,431.0796813964844,79.47968139648435,211.57968139648438
S010,S003,11208.756415778262,413.4571533203125,463.4571533203125,111.85715332031248,124.9571533203125
S010,S004,7564.544903096997,394.8845520019531,444.8845520019531,93.2845520019531,216.5845520019531
S010,S005,6365.828619761172,423.80474853515625,473.80474853515625,122.20474853515623,278.80474853515625
S010,S006,7909.585429221888,440.0442199707031,490.0442199707031,138.4442199707031,175.2442199707031
S010,S007,8586.756825273913,411.88427734375,461.88427734375,110.28427734374998,113.38427734375
S010,S008,9305.006857995599,413.8662414550781,463.8662414550781,112.2662414550781,192.96624145507815
S010,S009,4576.424241271918,394.8845520019531,444.8845520019531,93.2845520019531,214.88455200195312
S010,S011,5865.848212731673,421.2064208984375,471.2064208984375,119.60642089843748,259.1064208984375
S010,S012,3966.307663793741,436.8346862792969,486.8346862792969,135.23468627929685,207.03468627929686
S010,S013,1383.351802046178,381.0796813964844,431.0796813964844,79.47968139648435,79.37968139648439
S010,S014,1758.3683592479576,427.9442443847656,477.9442443847656,126.3442443847656,126.94424438476562
S010,S015,9187.940692404369,441.85394287109375,491.85394287109375,140.25394287109373,17.35394287109375
S011,O01,2817.14783394126,207.65652465820312,257.6565246582031,45.55652465820313,129.95652465820314
S011,S001,2350.3360860171365,218.1654510498047,268.1654510498047,56.06545104980469,84.16545104980469
S011,S002,5790.086452584073,311.78533935546875,361.78533935546875,149.68533935546876,142.28533935546875
S011,S003,5348.792842148937,308.51068115234375,358.51068115234375,146.41068115234376,20.01068115234375
S011,S004,5422.186185981828,233.7969207763672,283.7969207763672,71.6969207763672,55.496920776367176
S011,S005,2812.7579349761068,229.92442321777344,279.92442321777344,67.82442321777344,84.92442321777344
S011,S006,3416.1902281569105,505.8800964355469,555.8800964355469,343.78009643554685,241.08009643554686
S011,S007,2829.56174155148,314.2220458984375,364.2220458984375,152.1220458984375,15.7220458984375
S011,S008,5348.220405213765,282.18890380859375,332.18890380859375,120.08890380859376,61.28890380859377
S011,S009,4326.917456853088,274.65771484375,324.65771484375,112.55771484375,94.65771484375
S011,S010,5865.848212731673,321.5816650390625,371.5816650390625,159.4816650390625,19.981665039062477
S011,S012,6897.396444963411,297.5489196777344,347.5489196777344,135.44891967773438,67.74891967773436
S011,S013,5224.677192376564,321.70806884765625,371.70806884765625,159.60806884765626,20.00806884765626
S011,S014,7123.113479340445,320.9825134277344,370.9825134277344,158.88251342773438,19.982513427734375
S011,S015,3461.7683247234245,436.229248046875,486.229248046875,274.129248046875,11.729248046875
S012,O01,7398.43934212781,390.98822021484375,440.98822021484375,161.18822021484374,313.28822021484376
S012,S001,4696.513291627057,385.2455749511719,435.2455749511719,155.44557495117186,251.24557495117188
S012,S002,3071.9972666342474,359.47528076171875,409.47528076171875,129.67528076171874,189.97528076171875
S012,S003,11798.876846452911,362.7586975097656,412.7586975097656,132.9586975097656,74.25869750976562
S012,S004,5283.739027383003,377.4200439453125,427.4200439453125,147.6200439453125,199.1200439453125
S012,S005,5613.472595564874,277.55780029296875,327.55780029296875,47.75780029296874,132.55780029296875
S012,S006,9988.826408304783,382.77191162109375,432.77191162109375,152.97191162109374,117.97191162109374
S012,S007,9652.022157307281,394.47064208984375,444.47064208984375,164.67064208984374,95.97064208984375
S012,S008,7720.902518300755,416.96453857421875,466.96453857421875,187.16453857421874,196.06453857421877
S012,S009,2967.8672195087966,258.44781494140625,308.44781494140625,28.64781494140624,78.44781494140625
S012,S010,3966.307663793741,321.5816650390625,371.5816650390625,91.78166503906249,19.981665039062477
S012,S011,6897.396444963411,393.1043395996094,443.1043395996094,163.30433959960936,231.00433959960938
S012,S013,2863.9419168551267,372.0584411621094,422.0584411621094,142.25844116210936,70.35844116210939
S012,S014,5477.031359647905,320.9825134277344,370.9825134277344,91.18251342773436,19.982513427734375
S012,S015,9302.59595392879,436.229248046875,486.229248046875,206.429248046875,11.729248046875
S013,O01,4848.700302599784,372.7035217285156,422.7035217285156,71.00352172851564,295.00352172851564
S013,S001,2894.2496690637063,321.70806884765625,371.70806884765625,20.00806884765626,187.70806884765625
S013,S002,4556.4253269828,324.4444580078125,374.4444580078125,22.74445800781251,154.9444580078125
S013,S003,10540.907031525781,344.0522766113281,394.0522766113281,42.352276611328136,55.552276611328125
S013,S004,6210.781847328471,321.70806884765625,371.70806884765625,20.00806884765626,143.40806884765624
S013,S005,5214.407218590375,322.97015380859375,372.97015380859375,21.27015380859376,177.97015380859375
S013,S006,7774.922470685925,392.7649841308594,442.7649841308594,91.06498413085939,127.96498413085936
S013,S007,8041.876633215178,327.6782531738281,377.6782531738281,25.978253173828136,29.178253173828125
S013,S008,8061.2465970954945,321.70806884765625,371.70806884765625,20.00806884765626,100.80806884765627
S013,S009,3218.668940693961,321.70806884765625,371.70806884765625,20.00806884765626,141.70806884765625
S013,S010,1383.351802046178,367.54681396484375,417.54681396484375,65.84681396484376,65.94681396484373
S013,S011,5224.677192376564,321.70806884765625,371.70806884765625,20.00806884765626,159.60806884765626
S013,S012,2863.9419168551267,378.296630859375,428.296630859375,76.59663085937501,148.496630859375
S013,S014,3137.277603600325,428.78741455078125,478.78741455078125,127.08741455078126,127.78741455078125
S013,S015,8338.184804497143,436.229248046875,486.229248046875,134.529248046875,11.729248046875
S014,O01,5410.909620502695,369.52947998046875,419.52947998046875,68.52947998046875,291.82947998046876
S014,S001,5198.596162989784,508.7425231933594,558.7425231933594,207.74252319335938,374.7425231933594
S014,S002,7680.86897763051,568.5668334960938,618.5668334960938,267.56683349609375,399.06683349609375
S014,S003,12372.475028998615,441.46917724609375,491.46917724609375,140.46917724609375,152.96917724609375
S014,S004,9318.312212892464,550.0504150390625,600.0504150390625,249.0504150390625,371.7504150390625
S014,S005,8005.222170551042,532.1881103515625,582.1881103515625,231.1881103515625,387.1881103515625
S014,S006,8582.826645617135,356.52581787109375,406.52581787109375,55.52581787109375,91.72581787109374
S014,S007,9672.514871591644,437.9000244140625,487.9000244140625,136.9000244140625,139.4000244140625
S014,S008,10991.62867899915,552.8875122070312,602.8875122070312,251.88751220703125,331.9875122070313
S014,S009,6332.937688393668,552.1436157226562,602.1436157226562,251.14361572265625,372.14361572265625
S014,S010,1758.3683592479576,557.7218017578125,607.7218017578125,256.7218017578125,256.1218017578125
S014,S011,7123.113479340445,466.09344482421875,516.0934448242188,165.09344482421875,303.9934448242187
S014,S012,5477.031359647905,341.270263671875,391.270263671875,40.270263671875,111.47026367187499
S014,S013,3137.277603600325,563.4961547851562,613.4961547851562,262.49615478515625,261.79615478515626
S014,S015,10551.902543915849,483.26031494140625,533.2603149414062,182.26031494140625,58.76031494140625
S015,O01,6019.105634595292,535.643798828125,585.643798828125,111.143798828125,457.943798828125
S015,S001,5494.311766798541,452.43408203125,502.43408203125,27.93408203125,318.43408203125
S015,S002,7156.956228405488,723.9313354492188,773.9313354492188,299.43133544921875,554.4313354492188
S015,S003,2614.3562499141703,543.108642578125,593.108642578125,118.608642578125,254.608642578125
S015,S004,5649.046264106804,655.6468505859375,705.6468505859375,231.1468505859375,477.3468505859375
