type,service,N_f,E_total,T_total,batch_idx,n_boxes,mass,volume,energy_kWh,time_s
A,S004,4,12.113812014859151,8234.692079803397,1,2,22.0,0.055,3.160301762707677,2088.6730199508493
A,S004,4,12.113812014859151,8234.692079803397,3,1,14.0,0.027,3.007086671191563,2028.6730199508495
A,S004,4,12.113812014859151,8234.692079803397,6,1,14.0,0.027,3.007086671191563,2028.6730199508495
A,S005,4,8.227800233402505,6154.382410535836,12,2,9.0,0.047,1.996445284717091,1568.595602633959
A,S005,4,8.227800233402505,6154.382410535836,1,2,22.0,0.055,2.1465764477674214,1568.595602633959
A,S005,4,8.227800233402505,6154.382410535836,3,1,14.0,0.027,2.042389250458996,1508.595602633959
A,S005,4,8.227800233402505,6154.382410535836,6,1,14.0,0.027,2.042389250458996,1508.595602633959
A,S006,4,5.088771888748008,4890.099012615872,12,2,9.0,0.047,1.232788286711787,1252.524753153968
A,S006,4,5.088771888748008,4890.099012615872,1,2,22.0,0.055,1.3298793481899036,1252.524753153968
A,S006,4,5.088771888748008,4890.099012615872,3,1,14.0,0.027,1.263052126923159,1192.524753153968
A,S006,4,5.088771888748008,4890.099012615872,6,1,14.0,0.027,1.263052126923159,1192.524753153968
A,S007,3,5.635532818140679,5095.63644280317,9,2,9.0,0.047,1.81902475097465,1718.54548093439
A,S007,3,5.635532818140679,5095.63644280317,1,2,22.0,0.055,1.9551982103145191,1718.54548093439
A,S007,3,5.635532818140679,5095.63644280317,3,1,14.0,0.027,1.8613098568515098,1658.54548093439
A,S008,3,9.492143514038807,6304.758580942441,9,2,9.0,0.047,3.0633804482933886,2121.5861936474803
A,S008,3,9.492143514038807,6304.758580942441,1,2,22.0,0.055,3.294526581167755,2121.5861936474803
A,S008,3,9.492143514038807,6304.758580942441,3,1,14.0,0.027,3.134236484577663,2061.5861936474803
A,S009,2,4.470395175601455,3464.268089502638,4,2,11.0,0.04,2.218823728792099,1762.134044751319
A,S009,2,4.470395175601455,3464.268089502638,0,1,14.0,0.027,2.251571446809356,1702.134044751319
A,S010,2,3.781548815718379,3187.656289258007,4,2,11.0,0.04,1.8767077757045731,1623.8281446290034
A,S010,2,3.781548815718379,3187.656289258007,0,1,14.0,0.027,1.9048410400138058,1563.8281446290034
A,S011,2,2.2100299054063326,2273.1012335468263,4,2,11.0,0.04,1.0968134230324376,1166.5506167734131
A,S011,2,2.2100299054063326,2273.1012335468263,0,1,14.0,0.027,1.113216482373895,1106.5506167734131
A,S012,2,5.772737014891379,4149.110981881145,4,2,11.0,0.04,2.8653140033603846,2104.5554909405723
A,S012,2,5.772737014891379,4149.110981881145,0,1,14.0,0.027,2.9074230115309945,2044.5554909405723
A,S013,2,3.815008950366925,3158.2504337116466,4,2,11.0,0.04,1.8932506348374871,1609.1252168558233
A,S013,2,3.815008950366925,3158.2504337116466,0,1,14.0,0.027,1.9217583155294378,1549.1252168558233
A,S014,2,4.233566632381133,3340.9607971662626,4,2,11.0,0.04,2.1010414756303337,1700.4803985831313
A,S014,2,4.233566632381133,3340.9607971662626,0,1,14.0,0.027,2.1325251567507992,1640.4803985831313
A,S015,2,4.801698183325435,3819.564888452337,4,2,11.0,0.04,2.382667178166902,1939.7824442261685
A,S015,2,4.801698183325435,3819.564888452337,0,1,14.0,0.027,2.419031005158533,1879.7824442261685
B,S001,7,7.748361234774926,8021.771506578965,146,3,20.0,0.051000000000000004,1.0733894566288567,1197.3959295112807
B,S001,7,7.748361234774926,8021.771506578965,18,2,20.0,0.062,1.0733894566288567,1137.3959295112807
B,S001,7,7.748361234774926,8021.771506578965,38,2,20.0,0.062,1.0733894566288567,1137.3959295112807
B,S001,7,7.748361234774926,8021.771506578965,55,2,22.0,0.055,1.102555695751748,1137.3959295112807
B,S001,7,7.748361234774926,8021.771506578965,71,2,22.0,0.055,1.102555695751748,1137.3959295112807
B,S001,7,7.748361234774926,8021.771506578965,86,2,22.0,0.055,1.102555695751748,1137.3959295112807
B,S001,7,7.748361234774926,8021.771506578965,101,2,28.0,0.054,1.2205257776331127,1137.3959295112807
B,S002,4,10.306789593172638,7435.013283863812,33,2,17.0,0.039,2.4758517078062203,1858.753320965953
